,year,title
213,2018,ISPRS Journal of Photogrammetry and Remote Sensing
214,2018,Open Publications Of UTS Scholars (University of Technology Sydney)
215,2018,Open Access Repository of ICRISAT (International Crops Research Institute for the Semi-Arid Tropics)
216,2021,Frontiers in Sustainable Food Systems
217,2018,Journal of Medical Entomology
219,2018,Agriculture and Human Values
220,2020,Applied Economic Perspectives and Policy
221,2018,American Journal of Agricultural Economics
222,2019,Society & Natural Resources
223,2018,Environmental Research Letters
224,2020,Journal of Dairy Science
226,2020,Geophysical Research Letters
227,2020,CaltechAUTHORS (California Institute of Technology)
228,2019,PLoS ONE
230,2019,Europe PMC (PubMed Central)
231,2019,PubMed Central
232,2019,OPAL (Open@LaTrobe) (La Trobe University)
234,2019,Food Policy
235,2019,The Journal of Open Source Software
236,2019,Agricultural Systems
237,2018,EDIS
238,2020,Agronomy Journal
239,2018,Global Environmental Change
240,2018,Iowa State University Digital Repository (Iowa State University)
241,2023,Plant Disease
243,2018,The Science of The Total Environment
244,2018,Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)
246,2021,Journal of Agriculture Food Systems and Community Development
249,2020,Scientific Data
250,2020,PubMed Central
252,2022,Landscape Ecology
253,2022,PubMed Central
254,2022,PubMed
256,2022,Remote Sensing of Environment
257,2022,NOAA Institutional Repository
258,2018,Food Policy
259,2018,K-State Research Exchange (Kansas State University)
260,2022,Journal of Agricultural and Applied Economics
261,2022,Scientific Data
262,2022,DOAJ (DOAJ: Directory of Open Access Journals)
265,2019,Environmental Research Letters
266,2019,arXiv (Cornell University)
267,2019,DataCite API
270,2021,Florida Entomologist
272,2019,Biomass and Bioenergy
273,2018,Renewable Agriculture and Food Systems
274,2018,Environmental Management
275,2018,arXiv (Cornell University)
277,2020,Plant Disease
278,2018,Agricultural and Resource Economics Review
279,2018,International Soil and Water Conservation Research
280,2018,DOAJ (DOAJ: Directory of Open Access Journals)
281,2018,Journal of the Royal Statistical Society Series A (Statistics in Society)
282,2019,Computers and Electronics in Agriculture
283,2019,Land Use Policy
284,2020,Journal of Agricultural and Applied Economics
285,2018,Journal of Agrarian Change
286,2019,Renewable Agriculture and Food Systems
287,2018,GeoHealth
288,2018,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
290,2018,Europe PMC (PubMed Central)
292,2018,eScholarship (California Digital Library)
294,2018,Weed Technology
295,2021,Earth system science data
297,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
299,2022,Applied Economic Perspectives and Policy
300,2020,Frontiers in Environmental Science
302,2020,Transactions of the ASABE
303,2020,Lincoln (University of Nebraska)
304,2018,Global Change Biology
306,2023,Agricultural and Resource Economics Review
307,2018,Journal of Dairy Science
308,2018,HAL (Le Centre pour la Communication Scientifique Directe)
309,2018,Repository for Publications and Research Data (ETH Zurich)
310,2018,Research at the University of Copenhagen (University of Copenhagen)
311,2018,Repository@Nottingham (University of Nottingham)
313,2018,CentAUR (University of Reading)
315,2023,Smart Agricultural Technology
316,2023,ThinkTech (Texas Tech University)
317,2019,Remote Sensing
322,2018,Digital Access to Scholarship at Harvard (DASH) (Harvard University)
323,2021,Water
325,2021,Karatina University Digital Repository (Karatina University)
326,2021,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)"
328,2021,PubMed Central
329,2021,PubMed
330,2019,Journal of Environmental Economics and Management
331,2019,Environmental Science & Policy
332,2019,eScholarship (California Digital Library)
333,2020,Precision Agriculture
334,2020,"AgEcon Search (University of Minnesota, USA)"
335,2019,Journal of Agricultural and Applied Economics
336,2018,Journal of Environmental Management
338,2021,Small Business Economics
342,2022,Agriculture
344,2022,Environmental Health
346,2022,Purdue University Indianapolis (Indiana University)
349,2022,Epidemics
351,2022,KTH Publication Database DiVA (KTH Royal Institute of Technology)
353,2022,Frontiers in Sustainable Food Systems
355,2019,BMC Veterinary Research
360,2023,Forests
363,2022,Computers and Electronics in Agriculture
364,2022,DiVA (Linkoping University)
368,2019,Digital Commons - USU (Utah State University)
369,2018,Agricultural Finance Review
370,2018,Land Economics
375,2019,Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)
377,2019,bioRxiv (Cold Spring Harbor Laboratory)
379,2018,Ecological Economics
380,2018,Veterinary Parasitology
387,2019,California Agriculture
390,2021,Agriculture and Human Values
391,2021,RePEc: Research Papers in Economics
392,2021,eScholarship (California Digital Library)
395,2020,HortScience
397,2020,PLoS ONE
399,2020,Europe PMC (PubMed Central)
400,2020,PDXScholar  (Portland State University)
403,2019,Applied Economic Perspectives and Policy
407,2020,Renewable Agriculture and Food Systems
408,2018,Plant Disease
410,2018,Climatic Change
411,2019,European Review of Agricultural Economics
416,2018,Lincoln (University of Nebraska)
424,2018,Global Food Security
426,2021,Atmospheric chemistry and physics
430,2021,UNI ScholarWorks (University of Northern Iowa)
433,2021,CU Scholar (University of Colorado Boulder)
435,2019,Agriculture
437,2019,Scientific Reports
439,2019,K-State Research Exchange (Kansas State University)
445,2018,Agricultural Water Management
447,2020,RePEc: Research Papers in Economics
448,2020,K-State Research Exchange (Kansas State University)
450,2018,Journal of Agromedicine
454,2018,Sustainability
456,2018,Ecosphere
457,2018,Warwick Research Archive Portal (University of Warwick)
462,2019,Journal of Climate
463,2019,DSpace@MIT (Massachusetts Institute of Technology)
464,2022,Journal of the World Aquaculture Society
465,2022,VTechWorks (Virginia Tech)
466,2021,Journal of Agricultural Safety and Health
468,2021,Journal of Agricultural and Applied Economics
470,2019,Applied Animal Science
471,2019,Agricultural and Forest Meteorology
472,2022,Journal of Environmental Management
474,2018,Biogeosciences
479,2019,Computers Environment and Urban Systems
480,2019,Agronomy Journal
481,2021,Global Biogeochemical Cycles
482,2018,Ecology and Society
484,2018,Montana State University ScholarWorks (Montana State University)
487,2018,Global Biogeochemical Cycles
490,2019,Rangeland Ecology & Management
491,2019,Lincoln (University of Nebraska)
493,2019,Ecological Economics
494,2019,UA Campus Repository (The University of Arizona)
495,2019,PDXScholar  (Portland State University)
497,2018,Agriculture Ecosystems & Environment
498,2019,EDIS
499,2019,Ecological Modelling
500,2019,QUT ePrints (Queensland University of Technology)
501,2019,Water Resources Research
502,2020,Organic Agriculture
503,2020,Organic Eprints (Forschungsinstitut für Biologischen Landbau)
504,2021,Journal of Soil and Water Conservation
505,2019,Energy Research & Social Science
506,2021,Environmental Research Letters
507,2021,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)"
508,2018,Simulation Modelling Practice and Theory
509,2020,Statistics in Transition New Series
513,2021,Renewable Agriculture and Food Systems
514,2021,Iowa State University Digital Repository (Iowa State University)
516,2018,RePEc: Research Papers in Economics
518,2019,Evolutionary Applications
522,2020,PLoS Computational Biology
524,2020,Warwick Research Archive Portal (University of Warwick)
525,2020,DiVA (Linkoping University)
528,2021,Remote Sensing
530,2018,The International Journal of Life Cycle Assessment
531,2022,Frontiers in Ecology and Evolution
533,2022,bioRxiv (Cold Spring Harbor Laboratory)
534,2019,Agroforestry Systems
539,2019,Environmental Research Communications
540,2018,Water Resources Research
541,2018,European Review of Agricultural Economics
542,2018,Journal of Insect Conservation
543,2022,IEEE Transactions on Geoscience and Remote Sensing
544,2022,arXiv (Cornell University)
545,2022,DataCite API
546,2018,Soil and Tillage Research
547,2020,Crop Science
552,2018,Animal Frontiers
556,2018,Canadian Journal of Zoology
557,2018,TSpace (University of Toronto)
558,2019,American Journal of Agricultural Economics
562,2020,Agriculture
565,2021,Nature Communications
572,2019,Warwick Research Archive Portal (University of Warwick)
575,2020,Processes
577,2018,Integrated Environmental Assessment and Management
579,2019,Vector-Borne and Zoonotic Diseases
583,2019,Journal of Environmental Management
585,2018,Journal of the Association of Environmental and Resource Economists
589,2019,Sustainability
591,2019,Digital Collections of Colorado (Colorado State University)
593,2020,Wetlands
595,2020,Geo-Leo e-docs (Deutsche Initiative für Netzwerkinformation)
596,2018,International Journal of Production Economics
604,2020,Frontiers in Sustainable Food Systems
607,2018,Resources Conservation and Recycling
608,2023,Journal of Soil and Water Conservation
609,2021,Land Economics
611,2021,NOAA Institutional Repository
613,2020,Remote Sensing
619,2021,Frontiers in Environmental Science
621,2021,Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)
622,2019,Journal of Applied Statistics
630,2019,Socio-Environmental Systems Modeling
631,2019,Environmental Research
633,2019,Statistical Science
635,2019,Data
637,2019,Ecosystems
640,2018,Journal of Wildlife Management
641,2018,Remote Sensing of Environment
642,2023,Journal of Nutrition Education and Behavior
644,2018,Journal of Agricultural Biological and Environmental Statistics
646,2021,Annals of the Entomological Society of America
648,2019,BMC Research Notes
650,2019,ScholarWorks @UVM (University of Vermont)
655,2022,Society & Natural Resources
656,2022,The Bovine Practitioner
657,2022,Agricultural Economics
660,2018,Geoscience Data Journal
664,2019,Forest Policy and Economics
667,2019,Journal of Dairy Science
669,2018,Agricultural Economics
672,2020,Earth Interactions
673,2019,The Science of The Total Environment
676,2018,Journal of Soil and Water Conservation
681,2017,Journal of Agricultural Safety and Health
686,2019,Weather Climate and Society
687,2019,Iowa State University Digital Repository (Iowa State University)
688,2018,Environmental Toxicology and Chemistry
690,2018,Radboud Repository (Radboud University)
693,2018,White Rose Research Online (University of Leeds)
696,2018,Pure (Coventry University)
699,2020,Water
703,2017,Journal of Sustainable Tourism
704,2024,Journal of Agriculture Food Systems and Community Development
709,2018,PLoS ONE
712,2018,"Digital Commons - CSUMB (California State University, Monterey Bay)"
716,2017,Environmental Management
718,2020,Sustainability
721,2017,SSRN Electronic Journal
722,2019,JAWRA Journal of the American Water Resources Association
723,2019,Deep Blue (University of Michigan)
724,2021,Precision Agriculture
725,2020,Policy Press eBooks
726,2018,Preventive Veterinary Medicine
730,2020,Iowa State University Digital Repository (Iowa State University)
733,2019,Hydrology
737,2023,Frontiers in Sustainable Food Systems
738,2019,Journal of Soil and Water Conservation
739,2021,Annual Review of Resource Economics
741,2023,Scientific Reports
742,2023,Columbia Academic Commons (Columbia University)
746,2018,JAWRA Journal of the American Water Resources Association
747,2020,Journal of Geophysical Research Biogeosciences
755,2020,HortTechnology
757,2021,Journal of Geophysical Research Biogeosciences
763,2023,Nutrients
766,2019,Agricultural and Resource Economics Review
770,2021,Agroforestry Systems
772,2018,Translational Animal Science
776,2017,Transactions of the ASABE
778,2023,Journal of Agriculture Food Systems and Community Development
780,2021,Open PRAIRIE (South Dakota State University)
781,2023,Agriculture
782,2023,Land
783,2020,Journal of Agricultural Science
785,2022,Environmental Research Letters
787,2024,Statistical Journal of the IAOS
788,2019,Agricultural Water Management
791,2017,Waste Management & Research The Journal for a Sustainable Circular Economy
793,2017,Applied Economic Perspectives and Policy
794,2019,Journal of Hydrology
795,2021,Energies
798,2021,Rosa P: A digital library for transportation research (United States Department of Transportation)
799,2017,San Francisco Estuary and Watershed Science
801,2022,Journal of Soil and Water Conservation
802,2019,Land
804,2022,Frontiers in Agronomy
805,2018,bioRxiv (Cold Spring Harbor Laboratory)
808,2022,Journal of the ASABE
811,2019,UND Scholarly Commons (University of North Dakota)
813,2021,Ecosphere
816,2022,Plant Methods
820,2018,Journal of Great Lakes Research
821,2021,American Journal of Agricultural Economics
822,2021,K-State Research Exchange (Kansas State University)
823,2017,Ecology and Society
826,2018,Regional Environmental Change
831,2022,LSU Digital Commons (Louisiana State University)
832,2021,bioRxiv (Cold Spring Harbor Laboratory)
833,2018,The Professional Animal Scientist
834,2018,Environments
836,2018,ScholarWorks@UMassAmherst (University of Massachusetts Amherst)
838,2017,Journal of Agromedicine
842,2019,International Journal of Remote Sensing
845,2022,Remote Sensing
847,2023,Frontiers in Environmental Science
848,2019,Journal of Extension
854,2018,Chalmers Research (Chalmers University of Technology)
859,2020,AMBIO
862,2018,Veterinary Parasitology Regional Studies and Reports
864,2023,Water Resources Research
865,2017,Progress in soil science
866,2018,Gender Place & Culture
867,2021,The International Journal of Life Cycle Assessment
868,2022,Stats
870,2021,Weather Climate and Society
871,2018,Water
877,2021,HortScience
879,2021,American Journal of Climate Change
880,2018,Journal of Integrated Pest Management
881,2022,Journal of Applied Meteorology and Climatology
884,2023,Earth s Future
886,2019,Environment Development and Sustainability
887,2021,Review of Industrial Organization
890,2022,Agriculture and Human Values
893,2018,HortScience
895,2022,GeoHealth
897,2022,PUBLISSO (German National Library of Medicine)
900,2019,Journal of Animal Science
903,2017,Crop Science
904,2018,Journal of Applied Farm Economics
906,2018,Environmental Communication
907,2018,Forest Policy and Economics
908,2022,The Plant Phenome Journal
909,2022,Montana State University ScholarWorks (Montana State University)
914,2020,Digital Collections of Colorado (Colorado State University)
915,2020,Journal of Agriculture Food Systems and Community Development
918,2017,Rangelands
919,2017,BioOne Complete (BioOne)
920,2022,Frontiers in Forests and Global Change
922,2018,Journal of Economic Structures
924,2018,Econstor (Econstor)
925,2022,Journal of Agriculture Food Systems and Community Development
928,2018,China Agricultural Economic Review
932,2022,American Journal of Agricultural Economics
933,2017,Frontiers in Veterinary Science
940,2021,Ecology and Society
942,2019,The Geneva Papers on Risk and Insurance Issues and Practice
943,2017,Journal of Irrigation and Drainage Engineering
944,2021,Safety
945,2020,Biological Invasions
952,2017,ScholarlyCommons (University of Pennsylvania)
953,2019,Review of Agricultural Food and Environmental Studies
954,2019,HAL (Le Centre pour la Communication Scientifique Directe)
959,2022,Food Security
962,2018,Journal of Agricultural and Applied Economics
963,2022,Journal of the Agricultural and Applied Economics Association
964,2022,Land
966,2020,Journal of Applied Communications
967,2019,Journal of Applied Communications
970,2017,arXiv (Cornell University)
972,2018,Journal of Agricultural Science
973,2018,Applied Economic Perspectives and Policy
975,2019,Regional Environmental Change
977,2017,Spiral (Imperial College London)
981,2019,Environmental Sociology
986,2017,Advances in geographic information science
987,2021,Environmental Monitoring and Assessment
988,2021,UC Research Repository  (University of Canterbury)
990,2022,Diversity
991,2022,MDPI (MDPI AG)
993,2018,Applied Economics
997,2019,Repository for Publications and Research Data (ETH Zurich)
998,2019,Applied Economics
999,2017,Utah State Research and Scholarship (Utah State University)
1000,2022,Horticulturae
1002,2023,Journal of Applied Communications
1003,2023,SHAREOK (University of Oklahoma)
1004,2021,Frontiers in Water
1006,2017,The journal of cotton science/Journal of cotton science
1007,2019,Elsevier eBooks
1008,2020,Journal of Science Policy & Governance
1009,2020,Research Square (Research Square)
1010,2022,Sustainability
1015,2022,EDIS
1021,2023,Applied Economic Perspectives and Policy
1023,2023,Renewable Agriculture and Food Systems
1024,2020,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences"
1026,2022,Crop Science
1027,2023,Agronomy Journal
1030,2018,Journal of Apicultural Research
1031,2018,Open Research Exeter (University of Exeter)
1032,2018,OPAL (Open@LaTrobe) (La Trobe University)
1033,2023,Frontiers in Artificial Intelligence
1035,2023,Ecology and Evolution
1038,2019,Preventive Veterinary Medicine
1043,2023,Journal of the Agricultural and Applied Economics Association
1044,2018,Ecology and Evolution
1049,2024,Authorea (Authorea)
1052,2022,HortScience
1055,2019,VTechWorks (Virginia Tech)
1056,2021,The International Food and Agribusiness Management Review
1057,2021,"AgEcon Search (University of Minnesota, USA)"
1061,2017,Agricultural Systems
1062,2020,bioRxiv (Cold Spring Harbor Laboratory)
1065,2023,Epidemics
1066,2023,Warwick Research Archive Portal (University of Warwick)
1068,2023,American Journal of Agricultural Economics
1069,2022,Frontiers in Environmental Science
1074,2023,Journal of the World Aquaculture Society
1076,2022,Survey Practice
1077,2018,Agronomy Journal
1078,2019,Journal of Artificial Societies and Social Simulation
1080,2017,Rangeland Ecology & Management
1081,2017,MELSpace (ICARDA (The International Center for Agricultural Research in Dry Areas))
1082,2019,Journal of Mammalogy
1083,2017,Frontiers of economics and globalisation
1084,2021,Energy & Environmental Science
1085,2024,Agriculture
1086,2021,Urban Agriculture & Regional Food Systems
1088,2021,Elementa Science of the Anthropocene
1089,2020,Ecology and Society
1091,2020,ScholarWorks -A service of University of Vermont Libraries (University of Vermont)
1094,2019,Plant Health Progress
1095,2023,Remote Sensing
1096,2021,EDIS
1099,2023,Sustainability
1100,2023,NOAA Institutional Repository
1101,2017,EDIS
1102,2018,American Entomologist
1106,2023,PUBLISSO (German National Library of Medicine)
1108,2020,Journal of Paleolimnology
1109,2020,Research Portal (Queen's University Belfast)
1111,2020,HAL (Le Centre pour la Communication Scientifique Directe)
1117,2023,HortScience
1121,2021,International Journal of Agriculture and Natural Resources
1122,2021,Dialnet (Universidad de la Rioja)
1123,2021,Scientific Electronic Library Online (Scientific Electronic Library Online)
1127,2021,Conservation Science and Practice
1130,2024,Renewable Agriculture and Food Systems
1131,2020,eScholarship (California Digital Library)
1132,2024,Carbon Balance and Management
1133,2024,PubMed Central
1134,2024,PubMed
1135,2017,Transportation Research Record Journal of the Transportation Research Board
1136,2021,Transactions of the ASABE
1137,2021,ScholarSphere (Penn State Libraries)
1138,2022,Journal of Extension
1141,2023,EarthArXiv (California Digital Library)
1142,2021,Journal of South Carolina water resources
1143,2021,TigerPrints (Clemson University)
1144,2022,Agricultural and Resource Economics Review
1145,2023,Geosciences
1146,2022,Weed Technology
1147,2019,HortScience
1148,2022,Journal of Water Resources Planning and Management
1150,2019,International Journal of Mining Engineering and Mineral Processing
1151,2023,Water
1153,2017,UKnowledge (University of Kentucky)
1156,2017,Lincoln (University of Nebraska)
1159,2019,Collection Management
1162,2020,Journal of Applied Farm Economics
1163,2019,Radboud Repository (Radboud University)
1165,2017,Journal of Agricultural & Food Industrial Organization
1175,2017,European Review of Agricultural Economics
1177,2023,Animal Welfare
1179,2023,VTechWorks (Virginia Tech)
1181,2019,Applied Geography
1182,2021,Journal of risk and financial management
1183,2021,Econstor (Econstor)
1184,2020,Agriculture and Food Sciences Research
1186,2023,PLoS Computational Biology
1187,2023,Apollo (University of Cambridge)
1189,2023,bioRxiv (Cold Spring Harbor Laboratory)
1191,2024,Water Resources Research
1192,2018,Capitalism Nature Socialism
1193,2023,Hydrology
1198,2023,Organic Agriculture
1199,2022,Frontiers in Water
1202,2023,Frontiers in Climate
1203,2023,Transboundary and Emerging Diseases
1204,2017,World Environmental and Water Resources Congress 2017
1212,2022,K-State Research Exchange (Kansas State University)
1213,2018,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
1215,2018,Duo Research Archive (University of Oslo)
1218,2023,Preventing Chronic Disease
1220,2018,ACS symposium series
1222,2017,Geophysical monograph
1223,2020,Energies
1224,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
1227,2017,"Innovation, technology and knowledge management"
1229,2021,Frontiers in Marine Science
1231,2022,Journal of Official Statistics
1232,2023,Frontiers in Energy Research
1236,2017,NASA STI Repository (National Aeronautics and Space Administration)
1241,2023,PLoS ONE
1245,2024,Frontiers in Plant Science
1249,2023,Statistical Journal of the IAOS
1250,2024,American Journal of Agricultural Economics
1252,2024,Journal of Environmental Quality
1255,2023,Rural Sociology
1256,2024,Bulletin of the American Meteorological Society
1257,2023,Journal of Agricultural and Applied Economics
1259,2023,Survey Practice
1260,2023,Journal of Extension
1262,2023,Weed Science
1263,2024,Harvard Data Science Review
1264,2021,Journal of Extension
1267,2022,JAWRA Journal of the American Water Resources Association
1268,2022,Journal of Agricultural Science
1269,2024,Agricultural & Environmental Letters
1270,2023,Research Square (Research Square)
1271,2021,Journal of Applied Farm Economics
1272,2019,Online Journal of Rural Research & Policy
1273,2023,Q Open
1279,2023,Journal of Regulatory Science
1280,2022,Research Square (Research Square)
1281,2018,Abstracts with programs - Geological Society of America
1282,2018,IIASA PURE (International Institute of Applied Systems Analysis)
1284,2018,UCL Discovery (University College London)
1286,2020,UNI ScholarWorks (University of Northern Iowa)
1288,2020,CU Scholar (University of Colorado Boulder)
1290,2020,California Agriculture
1294,2022,Anbar Journal of Agricultural Sciences
1295,2024,Journal of risk and financial management
1298,2024,Hungarian Geographical Bulletin
1299,2021,Informationszentrum Lebenswissenschaften (ZB MED)
1300,2018,Elsevier eBooks
1301,2023,American Journal of Economics and Sociology
1303,2017,Empirical Economics
1304,2021,Research Square (Research Square)
1305,2020,AoIR Selected Papers of Internet Research
1306,2024,Agriculture and Human Values
1309,2017,Journal of Business & Economics Research (JBER)
1310,2023,International Journal of Environmental Research and Public Health
1315,2017,Elsevier eBooks
1316,2023,Agronomy
1319,2019,International Review of Law and Economics
1322,2024,Journal of Environmental Horticulture
1325,2024,Research Square (Research Square)
1327,2023,Journal of the ASABE
1329,2023,Qualitative Sociology Review
1330,2023,Systems
1331,2018,Sustainability in plant and crop protection
1332,2020,ISU Red - Research and eData (Illinois State University)
1336,2024,Sustainability
1337,2020,International Journal of Financial Studies
1340,2020,Econstor (Econstor)
1341,2018,International Journal of Sport Management and Marketing
1343,2024,Deleted Journal
1345,2020,Society & Natural Resources
1347,2017,Applied Geography
1348,2018,Data in Brief
1354,2019,Data in Brief
1359,2018,Land Use Policy
1363,2018,Research Explorer (The University of Manchester)
1365,2020,Advanced Sustainable Systems
1366,2020,UA Campus Repository (The University of Arizona)
1367,2022,HortTechnology
1370,2017,"AgEcon Search (University of Minnesota, USA)"
1371,2019,Journal of Urban Management
1374,2020,Environmental Research
1376,2018,Assistive Technology
1381,2021,MDPI (MDPI AG)
1385,2017,Demography
1390,2022,Journal of Animal Science
1392,2019,Social Problems
1393,2017,Tourism Management
1394,2017,Surrey Open Research repository (University of Surrey)
1395,2019,Preventive Medicine
1397,2017,Community Development
1398,2020,Journal of Urban Health
1401,2017,Computers Environment and Urban Systems
1402,2018,Local Environment
1403,2019,The Professional Geographer
1405,2019,The Journal of Applied Poultry Research
1407,2018,Social Science Research
1409,2020,Preventive Medicine
1412,2020,"Cornerstone (Minnesota State University, Mankato)"
1413,2021,The Science of The Total Environment
1414,2019,International Journal of Environmental Research and Public Health
1419,2017,International Journal of Environmental Research and Public Health
1425,2019,Diversity
1428,2019,Journal of Epidemiology & Community Health
1430,2017,Environmental Research Letters
1431,2018,Child Abuse & Neglect
1433,2021,International Journal of Rural Criminology
1436,2022,Journal of Sustainable Bioenergy Systems
1437,2020,International Journal of Environmental Research and Public Health
1446,2023,Earth system science data
1448,2017,Climate
1450,2019,Agroecology and Sustainable Food Systems
1452,2019,Repository KITopen (Karlsruhe Institute of Technology)
1453,2019,IIASA PURE (International Institute of Applied Systems Analysis)
1454,2022,JMIR Public Health and Surveillance
1459,2018,Journal of Contemporary Water Research & Education
1462,2022,Scientific Reports
1466,2020,Scientific Reports
1470,2023,Technology in Horticulture
1471,2020,American Economic Review
1473,2020,London School of Economics and Political Science Research Online (London School of Economics and Political Science)
1477,2022,Journal of the Academy of Nutrition and Dietetics
1481,2023,Nature Reviews Earth & Environment
1482,2022,Urology
1483,2022,eScholarship (California Digital Library)
1486,2022,Environmental Sociology
1488,2018,Transportation Research Record Journal of the Transportation Research Board
1489,2017,Journal of Cleaner Production
1494,2019,The Journal of Rural Health
1496,2019,Carbon Management
1500,2017,Journal of Climate
1501,2017,Digital Access to Scholarship at Harvard (DASH) (Harvard University)
1502,2019,Marine Policy
1504,2021,Minerva Access (University of Melbourne)
1507,2023,The American Journal of Cardiology
1511,2019,Global Environmental Change
