year,"title"
2003,"Journal of Reproductive Medicine for the Obstetrician and Gynecologist"
2003,"Journal of Rural Health"
2003,"Journal of Rural Studies"
2003,"Journals of Gerontology - Series B Psychological Sciences and Social Sciences"
2003,"Population and Development Review"
2003,"Population and Environment"
2003,"Rural Sociology"
2003,"Society and Natural Resources"
2003,"Sociological Focus"
2003,"Sociological Spectrum"
2003,"Southern Medical Journal"
2004,"AANA Journal"
2004,"Academic Medicine"
2004,"Agricultural and Resource Economics Review"
2004,"AIDS and Behavior"
2004,"American Journal of Health-System Pharmacy"
2004,"American Journal of Obstetrics and Gynecology"
2004,"American Journal of Public Health"
2004,"Business & Society"
2004,"Criminal Justice Review"
2004,"Economic Development Quarterly"
2004,"Families in Society"
2004,"Family Relations"
2004,"Frontiers in Ecology and the Environment"
2004,"Health Care Management Review"
2004,"Journal of Aircraft"
2004,"Journal of Community Health Nursing"
2004,"Journal of Health Care for the Poor and Underserved"
2004,"Journal of Political and Military Sociology"
2004,"Journal of Rural Health"
2004,"Journal of Sex and Marital Therapy"
2004,"Medicine and Science in Sports and Exercise"
2004,"Pediatric Dentistry"
2004,"Pediatrics"
2004,"Review of Regional Studies"
2004,"Social Forces"
2004,"Southern Medical Journal"
2005,"Agricultural and Resource Economics Review"
2005,"Alberta Journal of Educational Research"
2005,"Amenities and Rural Development: Theory, Methods and Public Policy"
2005,"American Journal of Infection Control"
2005,"British Journal of Cancer"
2005,"Cancer Epidemiology Biomarkers and Prevention"
2005,"Economic Development Quarterly"
2005,"Family Medicine"
2005,"Forest Policy and Economics"
2005,"Frontiers in Ecology and the Environment"
2005,"Growth and Change"
2005,"Health Services Research"
2005,"Homicide Studies"
2005,"Journal of Family and Economic Issues"
2005,"Journal of Health Care for the Poor and Underserved"
2005,"Journal of Occupational Health Psychology"
2005,"Journal of Pediatrics"
2005,"Journal of Regional Science"
2005,"Journal of Rural Health"
2005,"Journal of the American Dental Association"
2005,"Journal of Women and Aging"
2005,"Medical Care"
2005,"Population and Environment"
2005,"Preventive Medicine"
2005,"Review of Agricultural Economics"
2005,"Violence Against Women"
2006,"Accident Analysis and Prevention"
2006,"Affilia - Journal of Women and Social Work"
2006,"American Family Physician"
2006,"American Journal of Drug and Alcohol Abuse"
2006,"American Journal of Economics and Sociology"
2006,"American Journal of Preventive Medicine"
2006,"Annals of Pharmacotherapy"
2006,"Applied Economics"
2006,"Cancer"
2006,"Cancer Causes and Control"
2006,"Clinical Therapeutics"
2006,"Critical Care Medicine"
2006,"Family and Community Health"
2006,"Health Services Research"
2006,"International Perspectives on Rural Homelessness"
2006,"International Regional Science Review"
2006,"Journal for the Scientific Study of Religion"
2006,"Journal of Agricultural Safety and Health"
2006,"Journal of Applied Gerontology"
2006,"Journal of Cardiopulmonary Rehabilitation"
2006,"Journal of Consumer Affairs"
2006,"Journal of Crime and Justice"
2006,"Journal of Family Violence"
2006,"Journal of General Internal Medicine"
2006,"Journal of Health Communication"
2006,"Journal of Nutrition"
2006,"Journal of Public Child Welfare"
2006,"Journal of Rural Health"
2006,"Journal of Studies on Alcohol"
2006,"Journal of the American Geriatrics Society"
2006,"Journal of the American Medical Directors Association"
2006,"Journal of Urban Health"
2006,"Journal of Youth and Adolescence"
2006,"Preventing Chronic Disease"
2006,"Public Health Nursing"
2006,"Quality of Life Research"
2006,"Review of Regional Studies"
2006,"Rural Sociology"
2006,"Social Service Review"
2006,"Social Work Research"
2006,"Society and Natural Resources"
2006,"Southeastern Geographer"
2006,"Violence and Victims"
2006,"Western Criminology Review"
2007,"Administration and Policy in Mental Health and Mental Health Services Research"
2007,"American Family Physician"
2007,"American Journal of Agricultural Economics"
2007,"American Journal of Roentgenology"
2007,"BMC Health Services Research"
2007,"British Journal of Cancer"
2007,"Cancer Causes and Control"
2007,"Clinical Psychology: Science and Practice"
2007,"Early Childhood Education Journal"
2007,"Epidemiologic Perspectives and Innovations"
2007,"Gender Issues"
2007,"Great Plains Research"
2007,"Growth and Change"
2007,"Health and Place"
2007,"Journal of Affective Disorders"
2007,"Journal of Autism and Developmental Disorders"
2007,"Journal of Family and Economic Issues"
2007,"Journal of Leisure Research"
2007,"Journal of Loss and Trauma"
2007,"Journal of Nursing Care Quality"
2007,"Journal of Public Health Dentistry"
2007,"Journal of Rural Health"
2007,"Journal of the American College of Surgeons"
2007,"Journal of the American Dietetic Association"
2007,"Obstetrics and Gynecology"
2007,"Population Research and Policy Review"
2007,"Review of Regional Studies"
2007,"Sexually Transmitted Diseases"
2007,"Sociology of Spatial Inequality, The"
2008,"American Journal of Managed Care"
2008,"American Journal of Public Health"
2008,"Archives of Internal Medicine"
2008,"Biometrics"
2008,"Cancer"
2008,"Cancer Causes and Control"
2008,"Diabetes Educator"
2008,"Environmental Health Perspectives"
2008,"Health Care Manager"
2008,"Homicide Studies"
2008,"Journal of Continuing Education in Nursing"
2008,"Journal of Elder Abuse and Neglect"
2008,"Journal of Hunger and Environmental Nutrition"
2008,"Journal of Rural Health"
2008,"Journal of Safety Research"
2008,"Journal of the American Pharmacists Association"
2008,"Journal of the National Medical Association"
2008,"Maternal and Child Health Journal"
2008,"Pediatric Asthma, Allergy and Immunology"
2008,"Physician Assistant"
2008,"Population Research and Policy Review"
2008,"Preventing Chronic Disease"
2008,"Psychiatric Services"
2008,"Social Science Research"
2008,"Special Care in Dentistry"
2008,"Surgical Innovation"
2008,"The Prison Journal"
2008,"Tourism Economics"
2008,"Women and Health"
2009,"AANA Journal"
2009,"Adolescence"
2009,"American Journal of Agricultural Economics"
2009,"American Journal of Public Health"
2009,"Archives of Pediatrics and Adolescent Medicine"
2009,"Birth Defects Research Part A - Clinical and Molecular Teratology"
2009,"BMC Public Health"
2009,"Cancer"
2009,"Cancer Causes and Control"
2009,"Clothing and Textiles Research Journal"
2009,"Community Mental Health Journal"
2009,"Emerging Infectious Diseases"
2009,"Environmental Amenities and Regional Economic Development"
2009,"Health and Place"
2009,"Health Services Research"
2009,"Issues in Mental Health Nursing"
2009,"JOGNN - Journal of Obstetric, Gynecologic, and Neonatal Nursing"
2009,"Journal for the Scientific Study of Religion"
2009,"Journal of Adolescent Health"
2009,"Journal of Child and Adolescent Substance Abuse"
2009,"Journal of Clinical Psychology"
2009,"Journal of Community Health"
2009,"Journal of Consumer Affairs"
2009,"Journal of Early Intervention"
2009,"Journal of Family and Economic Issues"
2009,"Journal of Gerontological Social Work"
2009,"Journal of Health Care for the Poor and Underserved"
2009,"Journal of Nursing Scholarship"
2009,"Journal of Offender Rehabilitation"
2009,"Journal of Population Research"
2009,"Journal of Public Health Management and Practice"
2009,"Journal of Rural Health"
2009,"Journal of Safety Research"
2009,"Journal of Vascular Surgery"
2009,"MCN The American Journal of Maternal/Child Nursing"
2009,"Medical Care"
2009,"Pediatric Infectious Disease Journal"
2009,"Pediatrics"
2009,"Preventing Chronic Disease"
2009,"Psycho-Oncology"
2009,"Public Budgeting and Finance"
2009,"Public Health Nutrition"
2009,"Public Health Reports"
2009,"Public Works Management and Policy"
2009,"Sexually Transmitted Diseases"
2009,"Society and Natural Resources"
2009,"Targeting Regional Economic Development"
2009,"Transportation Research Record"
2009,"Violence Against Women"
2010,"Accident Analysis and Prevention"
2010,"Administration in Social Work"
2010,"Agricultural and Resource Economics Review"
2010,"American Behavioral Scientist"
2010,"American Journal of Epidemiology"
2010,"American Journal of Health Behavior"
2010,"American Journal of Health Promotion"
2010,"American Journal of Medicine"
2010,"Annals of Epidemiology"
2010,"Annals of Internal Medicine"
2010,"Archives of Internal Medicine"
2010,"Cancer Causes and Control"
2010,"Cancer Epidemiology Biomarkers and Prevention"
2010,"Children and Youth Services Review"
2010,"Deviant Behavior"
2010,"Early Childhood Research Quarterly"
2010,"EMS Workforce for the 21st Century - A National Assessment"
2010,"Energy Policy"
2010,"Families in Society"
2010,"Family Relations"
2010,"Gerontologist"
2010,"Great Plains Research"
2010,"Harm Reduction Journal"
2010,"Health and Place"
2010,"Health Services and Outcomes Research Methodology"
2010,"Journal of Addiction Medicine"
2010,"Journal of Applied Gerontology"
2010,"Journal of Clinical Oncology"
2010,"Journal of Consumer Affairs"
2010,"Journal of Hunger and Environmental Nutrition"
2010,"Journal of Infectious Diseases"
2010,"Journal of Pediatric Health Care"
2010,"Journal of Poverty"
2010,"Journal of Public Health Dentistry"
2010,"Journal of Rural Health"
2010,"Journal of Small Business Management"
2010,"Journal of Stroke and Cerebrovascular Diseases"
2010,"Journal of the American Academy of Dermatology"
2010,"Journal of the American Geriatrics Society"
2010,"Landscape and Urban Planning"
2010,"Marketing Intelligence and Planning"
2010,"Maternal and Child Health Journal"
2010,"Oncology Nursing Forum"
2010,"Organization and Environment"
2010,"Pediatrics"
2010,"Psycho-Oncology"
2010,"Public Administration, NGO's and Public Debt: Issues and Perspectives"
2010,"Public Health Nutrition"
2010,"Sociological Forum"
2010,"South African Family Practice"
2010,"Southern Journal of Applied Forestry"
2010,"Spatial and Spatio-temporal Epidemiology"
2010,"Underage Drinking: Examining and Preventing Youth Use of Alcohol"
2010,"USDA Forest Service - General Technical Report PNW-GTR"
2010,"Violence and Victims"
2010,"Visualizing Data Patterns with Micromaps"
2010,"Western Criminology Review"
2011,"61st Annual IIE Conference and Expo Proceedings"
2011,"Advances in School Mental Health Promotion"
2011,"American Journal of Medicine"
2011,"American Journal of Preventive Medicine"
2011,"Annals of Allergy, Asthma and Immunology"
2011,"Annals of Emergency Medicine"
2011,"Archives of Internal Medicine"
2011,"Cancer Epidemiology Biomarkers and Prevention"
2011,"Drug Development Research"
2011,"EMS Workforce for the 21st Century - A National Assessment"
2011,"Environment and Planning B: Planning and Design"
2011,"Geocarto International"
2011,"Health Education Research"
2011,"Health Services Research"
2011,"International Journal of Foresight and Innovation Policy"
2011,"International Journal of Health Geographics"
2011,"Journal of Community Health"
2011,"Journal of Drug Issues"
2011,"Journal of Gerontological Social Work"
2011,"Journal of Hunger and Environmental Nutrition"
2011,"Journal of Pain"
2011,"Journal of Pediatric Psychology"
2011,"Journal of Public Health Management and Practice"
2011,"Journal of Rural Health"
2011,"Journal of Social Service Research"
2011,"Journal of Substance Abuse Treatment"
2011,"Journal of the American Academy of Dermatology"
2011,"Journal of the American Board of Family Medicine"
2011,"Journal of the American Geriatrics Society"
2011,"Journal of Vocational Rehabilitation"
2011,"Nicotine and Tobacco Research"
2011,"Pediatrics"
2011,"PLoS ONE"
2011,"Preventive Medicine"
2011,"Professional Psychology: Research and Practice"
2011,"Psychological Services"
2011,"Qualitative Health Research"
2011,"Qualitative Market Research"
2011,"Rehabilitation Counseling Bulletin"
2011,"Review of Regional Studies"
2011,"Rural and Remote Health"
2011,"Rural Housing, Exurbanization, and Amenity-Driven Development: Contrasting the 'Haves' and the 'Have Nots'"
2011,"Sexually Transmitted Diseases"
2011,"Social Science and Medicine"
2011,"Special Care in Dentistry"
2011,"Suicide and Life-Threatening Behavior"
2012,"Academic Medicine"
2012,"American Heart Journal"
2012,"American Journal of Drug and Alcohol Abuse"
2012,"American Journal of Public Health"
2012,"American Sociologist"
2012,"Annals of Surgical Oncology"
2012,"Applied Economics"
2012,"Archives of Dermatology"
2012,"Atmospheric Environment"
2012,"BMC Public Health"
2012,"California Law Review"
2012,"Cancer Epidemiology"
2012,"Cancer Epidemiology Biomarkers and Prevention"
2012,"Clinical Nursing Research"
2012,"Community Dentistry and Oral Epidemiology"
2012,"Criminal Justice and Behavior"
2012,"Criminal Justice Policy Review"
2012,"Disability and Health Journal"
2012,"EMJ - Engineering Management Journal"
2012,"Environmental Management"
2012,"Environmental Science and Technology"
2012,"Geographic Adjustment in Medicare Payment: Phase I: Improving Accuracy: Second Edition"
2012,"Injury Prevention"
2012,"Journal of Applied Gerontology"
2012,"Journal of Cancer Epidemiology"
2012,"Journal of Community Health"
2012,"Journal of Evaluation in Clinical Practice"
2012,"Journal of Family Social Work"
2012,"Journal of Health Care for the Poor and Underserved"
2012,"Journal of Manipulative and Physiological Therapeutics"
2012,"Journal of Occupational and Environmental Medicine"
2012,"Journal of Physical Activity and Health"
2012,"Journal of Regional Analysis and Policy"
2012,"Journal of Rural Health"
2012,"Journal of Safety Research"
2012,"Journal of Small Business and Enterprise Development"
2012,"Journal of Substance Abuse Treatment"
2012,"Journal of the American Dental Association"
2012,"Journal of the American Medical Directors Association"
2012,"Journal of the American Pharmacists Association"
2012,"Journal of the National Cancer Institute"
2012,"Journal of Urology"
2012,"Journal of Women's Health"
2012,"Medical Care"
2012,"Pediatrics"
2012,"PLoS ONE"
2012,"Police Quarterly"
2012,"Policy, Politics, and Nursing Practice"
2012,"Population Health Management"
2012,"Preventing Chronic Disease"
2012,"Psychology of Men and Masculinity"
2012,"Public Health Reports"
2012,"Research in Social and Administrative Pharmacy"
2012,"Rural and Remote Health"
2012,"Suicide and Life-Threatening Behavior"
2012,"The Health and Wealth of a Nation: Employer-Based Health Insurance and the Affordable Care Act"
2012,"Tobacco Control"
2012,"Transportation Research Record"
2012,"Urban Studies"
2012,"Urban-Rural Interfaces: Linking People and Nature"
2012,"Vital and Health Statistics, Series 2: Data Evaluation and Methods Research"
2012,"Western Criminology Review"
2012,"Women and Health"
2012,"Women's Health Issues"
2013,"Academic Medicine"
2013,"Accident Analysis and Prevention"
2013,"American Journal of Agricultural Economics"
2013,"American Journal of Surgery"
2013,"American Journal of Transplantation"
2013,"Annals of Emergency Medicine"
2013,"Annals of Regional Science"
2013,"BMC Public Health"
2013,"British Journal of Criminology"
2013,"Canadian Journal of Surgery"
2013,"Cancer"
2013,"Cancer Causes and Control"
2013,"Cancer Epidemiology Biomarkers and Prevention"
2013,"Children and Youth Services Review"
2013,"Clinical Colorectal Cancer"
2013,"Clinical Journal of the American Society of Nephrology"
2013,"Criminal Justice Review"
2013,"Depression and Anxiety"
2013,"Drug and Alcohol Dependence"
2013,"Drugs: Education, Prevention and Policy"
2013,"Early Childhood Research Quarterly"
2013,"Family and Community Health"
2013,"Handbook of Rural Development"
2013,"Health Affairs"
2013,"Health Promotion Practice"
2013,"Infection Control and Hospital Epidemiology"
2013,"Information Communication and Society"
2013,"International Journal of Applied Earth Observation and Geoinformation"
2013,"International Journal of Entrepreneurship and Innovation"
2013,"JAMA Internal Medicine"
2013,"Journal of Applied Gerontology"
2013,"Journal of Cancer Education"
2013,"Journal of Clinical Child and Adolescent Psychology"
2013,"Journal of Clinical Oncology"
2013,"Journal of Comparative Family Studies"
2013,"Journal of Developmental Entrepreneurship"
2013,"Journal of Emergency Management"
2013,"Journal of Health Care for the Poor and Underserved"
2013,"Journal of Health Communication"
2013,"Journal of Hunger and Environmental Nutrition"
2013,"Journal of Manipulative and Physiological Therapeutics"
2013,"Journal of Occupational and Environmental Medicine"
2013,"Journal of Pain and Symptom Management"
2013,"Journal of Pediatrics"
2013,"Journal of Psychoactive Drugs"
2013,"Journal of Rural Health"
2013,"Journal of Small Business and Entrepreneurship"
2013,"Journal of Substance Abuse Treatment"
2013,"Journal of the American Academy of Dermatology"
2013,"Journal of the American College of Surgeons"
2013,"Journal of the American Geriatrics Society"
2013,"Journal of the American Society of Nephrology"
2013,"Journal of Urban Health"
2013,"Landscape and Urban Planning"
2013,"Local Disaster Resilience: Administrative and Political Perspectives"
2013,"Medical Care"
2013,"Monographs of the Society for Research in Child Development"
2013,"Otology and Neurotology"
2013,"Pediatrics"
2013,"Preventing Chronic Disease"
2013,"Proceedings of CUPUM 2013: 13th International Conference on Computers in Urban Planning and Urban Management - Planning Support Systems for Sustainable Urban Development"
2013,"Public Health Reports"
2013,"Rehabilitation Counseling Bulletin"
2013,"Research in Social and Administrative Pharmacy"
2013,"Research in Social Problems and Public Policy"
2013,"Research in the Sociology of Health Care"
2013,"Risk Management"
2013,"Rural Aging in 21st Century America"
2013,"Rural Sociology"
2013,"Social Science and Medicine"
2014,"2014 Joint Rail Conference, JRC 2014"
2014,"Academic Radiology"
2014,"American Journal of Community Psychology"
2014,"American Journal of Emergency Medicine"
2014,"American Journal of Epidemiology"
2014,"American Journal of Occupational Therapy"
2014,"American Journal of Preventive Medicine"
2014,"American Journal of Public Health"
2014,"American Journal of Surgery"
2014,"American Psychologist"
2014,"Applied Geography"
2014,"BJU International"
2014,"BMC Public Health"
2014,"Cancer"
2014,"Cancer Epidemiology Biomarkers and Prevention"
2014,"Children and Youth Services Review"
2014,"Clinical Gerontologist"
2014,"Contemporary Clinical Trials"
2014,"Criminal Justice Studies"
2014,"Drug and Alcohol Dependence"
2014,"Drugs and Aging"
2014,"Early Education and Development"
2014,"Environmental Health Perspectives"
2014,"Environmental Management"
2014,"Ethnicity and Disease"
2014,"Expert Review of Pharmacoeconomics and Outcomes Research"
2014,"Forests"
2014,"Gynecologic Oncology"
2014,"Health and Place"
2014,"Health Policy"
2014,"Injury Epidemiology"
2014,"International Journal of Police Science and Management"
2014,"International Journal of Radiation Oncology Biology Physics"
2014,"Journal of Child and Family Studies"
2014,"Journal of Clinical Oncology"
2014,"Journal of Crime and Justice"
2014,"Journal of Dental Research"
2014,"Journal of Geriatric Oncology"
2014,"Journal of Hospital Medicine"
2014,"Journal of Lower Genital Tract Disease"
2014,"Journal of Occupational and Environmental Medicine"
2014,"Journal of Offender Rehabilitation"
2014,"Journal of Pediatrics"
2014,"Journal of Professional Nursing"
2014,"Journal of Psychiatric Research"
2014,"Journal of Public Health Dentistry"
2014,"Journal of Regional Science"
2014,"Journal of Rural Health"
2014,"Journal of Safety Research"
2014,"Journal of the American Association of Nurse Practitioners"
2014,"Journal of the American Dental Association"
2014,"Journal of Urban Health"
2014,"Journal of Workplace Behavioral Health"
2014,"Justice Quarterly"
2014,"Laryngoscope"
2014,"Leukemia Research"
2014,"Melanoma Research"
2014,"Nicotine and Tobacco Research"
2014,"Oncology Nursing Forum"
2014,"Oral Oncology"
2014,"Pediatrics"
2014,"PLoS ONE"
2014,"Police Quarterly"
2014,"Preventive Medicine"
2014,"Prostate Cancer and Prostatic Diseases"
2014,"Psycho-Oncology"
2014,"Rural Wealth Creation"
2014,"Stroke"
2014,"Sustainability (Switzerland)"
2014,"Urologic Oncology: Seminars and Original Investigations"
2014,"Urology"
2015,"Accident Analysis and Prevention"
2015,"Addiction"
2015,"Alcoholism: Clinical and Experimental Research"
2015,"American Family Physician"
2015,"American Journal of Drug and Alcohol Abuse"
2015,"American Journal of Infection Control"
2015,"American Journal of Medicine"
2015,"American Journal of Preventive Medicine"
2015,"American Journal of Public Health"
2015,"Annals of Epidemiology"
2015,"Annals of Oncology"
2015,"Annals of Translational Medicine"
2015,"Archives of Physical Medicine and Rehabilitation"
2015,"Archives of Suicide Research"
2015,"BioSystems"
2015,"BMC Health Services Research"
2015,"BMC Medical Research Methodology"
2015,"Cancer"
2015,"Cancer Medicine"
2015,"CBE Life Sciences Education"
2015,"Child Abuse and Neglect"
2015,"Children and Youth Services Review"
2015,"Clinical Genitourinary Cancer"
2015,"Clinical Toxicology"
2015,"Community Development"
2015,"Conference on Human Factors in Computing Systems - Proceedings"
2015,"Criminal Justice Policy Review"
2015,"Diabetes Research and Clinical Practice"
2015,"Ear and Hearing"
2015,"Environmental Health Perspectives"
2015,"Environmental Health: A Global Access Science Source"
2015,"Environmental Research"
2015,"Evaluation and Program Planning"
2015,"Frontiers in Public Health"
2015,"Gynecologic Oncology"
2015,"Health Affairs"
2015,"Health and Place"
2015,"Health Promotion Practice"
2015,"Human Dimensions of Wildlife"
2015,"International Journal of Environmental Research and Public Health"
2015,"JAMA Pediatrics"
2015,"JAMA Psychiatry"
2015,"Journal of Affective Disorders"
2015,"Journal of Bone Oncology"
2015,"Journal of Community Health"
2015,"Journal of Community Practice"
2015,"Journal of Environmental Planning and Management"
2015,"Journal of Extension"
2015,"Journal of Family and Economic Issues"
2015,"Journal of Food Protection"
2015,"Journal of Gastrointestinal Cancer"
2015,"Journal of Gay and Lesbian Mental Health"
2015,"Journal of Hand Surgery"
2015,"Journal of Hospital Medicine"
2015,"Journal of Human Lactation"
2015,"Journal of Neuro-Oncology"
2015,"Journal of Nursing Administration"
2015,"Journal of Nursing Care Quality"
2015,"Journal of Offender Rehabilitation"
2015,"Journal of Oncology Practice"
2015,"Journal of Primary Care & Community Health"
2015,"Journal of Public Health Dentistry"
2015,"Journal of Public Health Management and Practice"
2015,"Journal of Rheumatology"
2015,"Journal of Rural Health"
2015,"Journal of Sociology and Social Welfare"
2015,"Journal of Substance Abuse Treatment"
2015,"Journal of the American College of Surgeons"
2015,"Journal of the American Dental Association"
2015,"Journal of the American Geriatrics Society"
2015,"Journal of the Canadian Urological Association"
2015,"Journal of the National Cancer Institute"
2015,"Journal of Transport and Health"
2015,"Journal of Urology"
2015,"Land Economics"
2015,"LGBT Health"
2015,"Maternal and Child Health Journal"
2015,"Medical Care"
2015,"Milbank Quarterly"
2015,"Nonprofit and Voluntary Sector Quarterly"
2015,"Nursing Economics"
2015,"Orthopaedic Nursing"
2015,"Paediatric and Perinatal Epidemiology"
2015,"Peabody Journal of Education"
2015,"Pediatric and Adolescent Medicine"
2015,"Pediatrics"
2015,"Pharmacy Practice"
2015,"PLoS ONE"
2015,"Population Health Management"
2015,"Preventing Chronic Disease"
2015,"Psychological Services"
2015,"Radiotherapy and Oncology"
2015,"Research in Nursing and Health"
2015,"Review of Regional Studies"
2015,"Sains Malaysiana"
2015,"Sarcoma"
2015,"Social Science and Medicine"
2015,"Social Science Research"
2015,"Social Work in Public Health"
2015,"Sociological Inquiry"
2015,"Stroke"
2015,"Stroke Research and Treatment"
2015,"Telemedicine and e-Health"
2015,"The Rise of the City: Spatial Dynamics in the Urban Century"
2015,"Urban Studies"
2015,"Urologic Oncology: Seminars and Original Investigations"
2015,"Women and Health"
2016,"Advances in Econometrics"
2016,"American Journal of Community Psychology"
2016,"American Journal of Criminal Justice"
2016,"American Journal of Drug and Alcohol Abuse"
2016,"American Journal of Medical Genetics, Part A"
2016,"American Journal of Obstetrics and Gynecology"
2016,"American Journal of Orthopsychiatry"
2016,"American Journal of Preventive Medicine"
2016,"American Journal of Public Health"
2016,"Annals of Family Medicine"
2016,"Annals of the American Association of Geographers"
2016,"Annals of Thoracic Surgery"
2016,"Applied Economics"
2016,"BJU International"
2016,"BMC Cancer"
2016,"BMC Health Services Research"
2016,"Cancer"
2016,"Cancer Epidemiology Biomarkers and Prevention"
2016,"Community Development"
2016,"Computers in Human Behavior"
2016,"Demography"
2016,"Drugs - Real World Outcomes"
2016,"Du Bois Review"
2016,"Environment and Planning A"
2016,"Environmental Health Perspectives"
2016,"Feeding Cities: Improving Local Food Access, Security, and Resilience"
2016,"Frontiers in Public Health"
2016,"Geographical Bulletin - Gamma Theta Upsilon"
2016,"GeoJournal"
2016,"Housing Policy Debate"
2016,"Injury Prevention"
2016,"International Journal of Leadership in Education"
2016,"International Journal of Radiation Oncology Biology Physics"
2016,"JAMA Otolaryngology - Head and Neck Surgery"
2016,"Journal of Aging Research"
2016,"Journal of Applied Biobehavioral Research"
2016,"Journal of Arthroplasty"
2016,"Journal of Cancer Research and Clinical Oncology"
2016,"Journal of Entrepreneurship and Public Policy"
2016,"Journal of Epidemiology and Community Health"
2016,"Journal of Family and Economic Issues"
2016,"Journal of Gay and Lesbian Social Services"
2016,"Journal of General Internal Medicine"
2016,"Journal of GLBT Family Studies"
2016,"Journal of Health Care for the Poor and Underserved"
2016,"Journal of Human Lactation"
2016,"Journal of Hunger and Environmental Nutrition"
2016,"Journal of Interpersonal Violence"
2016,"Journal of Leisure Research"
2016,"Journal of Medical Internet Research"
2016,"Journal of Neuro-Oncology"
2016,"Journal of Nutrition Education and Behavior"
2016,"Journal of Oncology Practice"
2016,"Journal of Oral and Maxillofacial Surgery"
2016,"Journal of Pain and Symptom Management"
2016,"Journal of Public Health Management and Practice"
2016,"Journal of Rural Health"
2016,"Journal of the Academy of Nutrition and Dietetics"
2016,"Journal of the American Academy of Child and Adolescent Psychiatry"
2016,"Journal of the American Geriatrics Society"
2016,"Journal of the American Pharmacists Association"
2016,"Journal of Water and Health"
2016,"Learning Disabilities Research and Practice"
2016,"Maternal and Child Health Journal"
2016,"Mayo Clinic Proceedings"
