doi,"title",year
10.1002/aepp.13190,"Seasonal farm labor and COVID-19 spread",2021
10.1002/aepp.13215,"Nudge to insure: Can informational nudges change enrollment decisions in pasture, rangeland, and forage rainfall index insurance?",2021
10.1002/ieam.4591,"A data accuracy evaluation strategy to improve the representation of potential pesticide use areas for endangered species assessments",2022
10.1111/1477-9552.12459,"Returns on investment to the British bovine tuberculosis control programme",2021
10.1111/pirs.12634,"On urban sprawl: Closed city, open city or does it even matter?",2021
10.1111/raq.12631,"Diverse state-level marine aquaculture policy in the United States: Opportunities and barriers for industry development",2022
10.1002/jeq2.20051,"Addressing the spatial disconnect between national-scale total maximum daily loads and localized land management decisions",2020
10.1002/rra.3948,"Evaluating hydrological components and streamflow characteristics under conventional and adaptive multi-paddock grazing management",2022
10.1016/j.jssas.2017.08.003,"Scale efficiency of maize farmers in four agro ecological zones of Ghana: A parametric approach",2019
10.3390/land11020161,"Confronting the Issue of Invasive Native Tree Species Due to Land Use Change in the Eastern United States",2022
10.3390/su13169309,"Natural infrastructure practices as potential flood storage and reduction for farms and rural communities in the North Carolina coastal plain",2021
10.3390/su14010048,"What affects the production technology of labor-intensive agricultural industries in the context of labor aging? An empirical study based on the garlic production in lanling",2022
10.3390/toxics10020073,"Development of an LC-MS/MS Method for Non-Invasive Biomonitoring of Neonicotinoid and Systemic Herbicide Pesticide Residues in Bat Hair",2022
10.3390/w14010018,"Using the change point model (CPM) framework to identify windows for water resource management action in the lower Colorado river basin of Texas, USA",2022
10.3390/agronomy10030419,"The potential for improving rice yield and nitrogen use efficiency in smallholder farmers: A case study of Jiangsu, China",2020
10.3390/agronomy11061102,"Cover crop impacts on water dynamics and yields in dryland wheat systems on the colorado plateau",2021
10.3390/data4020066,"Agro-climatic data by county: A spatially and temporally consistent U.S. dataset for agricultural yields, weather and soils",2019
10.3390/ijerph17239079,"An analysis of rural households’ earthquake-resistant construction behavior: Evidence from pingliang and yuxi, china",2020
10.3390/land8080121,"A land-based and spatial assessment of local food capacity in Northern Idaho, USA",2019
10.3390/LAND9070211,"Quality labels as drivers of peri-urban livestock systems resilience",2020
10.3390/rs12050827,"Extracting agronomic information from SMOS vegetation optical depth in the US corn belt using a nonlinear hierarchical model",2020
10.3390/w12113029,"Submarine groundwater discharge (Sgd) to coastal waters of saipan (commonwealth of the northern mariana islands, usa): Implications for nitrogen sources, transport and ecological effects",2020
10.1162/rest_a_00736,"Environmental Engel Curves: Indirect Emissions of Common Air Pollutants",2019
10.1162/rest_a_00842,"The righteous and reasonable ambition to become a landholder: Land and racial inequality in the postbellum south",2020
10.3375/043.039.0311,"Recolonizing Gray Wolves (Canis lupus) in Northern California: Preliminary Analysis of Suitable Areas for Reoccupancy",2019
10.1080/20780389.2020.1734312,"American slavery and labour market power",2020
10.1080/01615440.2020.1748151,"Retracing Rivers and drawing swamps: Using a drawing tablet to reconstruct an historical hydroscape from army corps survey maps",2020
10.1080/10511482.2021.1950801,"A Narrative Literature Review: What Is the Ideal Density for Environmentally Sustainable Urban Growth?",2021
10.1080/03066150.2017.1293661,"Race, immigration and the agrarian question: farmworkers becoming farmers in the United States*",2018
10.1080/03066150.2020.1741551,"The Long New Deal",2020
10.1080/03066150.2020.1854741,"What grows from a pandemic? Toward an abolitionist agroecology",2021
10.1080/13549839.2018.1545753,"The town that food saved? Investigating the promise of a local food economy in Vermont",2019
10.1080/2005615X.2018.1532711,"Assessing the intercultural sensitivity of students in an agriculture diversity and social justice course",2018
10.1080/08935696.2017.1375290,"Hybrid Class Dynamics, Gender, and the Economics of the Household: A Review of Class, Gender, and the American Family Farm in the 20th Century",2017
10.1080/08941920.2020.1756548,"Farmer Participation and Institutional Capture in Common-Pool Resource Governance Reforms. The Case of Groundwater Management in California",2020
10.1111/ruso.12317,"Justice and Tyranny: Bringing “Rural” Back into the Sociology of Food and Agriculture",2020
10.1177/0896920516633277,"Nishida Kitaro on Social Contradiction: A Critical Lens for Analyzing Community-Supported Agriculture",2018
10.1177/0308518X18796510,"Speculations on the postnatural: Restoration, accumulation, and sacrifice at the Salton Sea",2019
10.1177/0973801017703499,"Infrastructure and Development in Rural India",2017
10.22459/her.25.01.2019.01,"Role identities and pro-environmental behavior among farmers",2019
10.2489/JSWC.74.6.632,"Integrated data across multiple and diverse disciplines are essential for developing a sustainable food system",2019
10.2489/JSWC.2021.00118,"Irrigator perceptions and the value of groundwater quality in the High Plains Aquifer",2021
10.2489/jswc.73.1.48,"Lake Erie, phosphorus, and microcystin: Is it really the farmer's fault?",2018
10.1007/s10460-019-09994-3,"FASTing in the mid-west?: A theoretical assessment of ‘feminist agrifoods systems theory’",2020
10.1007/s10533-019-00623-z,"Fertilizer, landscape features and climate regulate phosphorus retention and river export in diverse Midwestern watersheds",2019
10.1007/s10530-020-02311-8,"Framework for assessing vertebrate invasive species damage: the case of feral swine in the United States",2020
10.1007/s10584-020-02694-6,"Temperature thresholds and the effect of warming on American farmland value",2020
10.1007/s00267-020-01342-0,"Co-designed Land-use Scenarios and their Implications for Storm Runoff and Streamflow in New England",2020
10.1007/s13197-020-04942-0,"Need for a balance between short food supply chains and integrated food processing sectors: COVID-19 takeaways from India",2021
10.1007/s11146-021-09863-z,"Commuting Costs and Urban Sprawl: Which Proxy Measures Up?",2021
10.1007/s11119-019-09681-7,"Examining the social and biophysical determinants of U.S. Midwestern corn farmers’ adoption of precision agriculture",2020
10.1007/s11151-021-09846-7,"Economics at the FCC 2020–21: Closing the Connectivity Gap, COVID-19 and Telehealth, Spectrum Auctions, Communications Marketplace Report, and Economic Research",2021
10.1007/s10533-018-0526-y,"Differential influence of landscape features and climate on nitrogen and phosphorus transport throughout the watershed",2019
10.1007/s10661-019-7426-z,"The presence of antibiotic resistance genes in coastal soil and sediment samples from the eastern seaboard of the USA",2019
10.1007/s10460-018-9847-7,"Farmland loss and concern in the Treasure Valley",2018
10.1007/s10457-017-0170-x,"Influences on farmer and rancher interest in supplying woody biomass for energy in the US Northern Great Plains",2019
10.1007/s10584-017-1947-7,"Groundwater depletion and climate change: future prospects of crop production in the Central High Plains Aquifer",2018
10.1007/s10584-017-2011-3,"Vulnerability of California specialty crops to projected mid-century temperature changes",2018
10.1007/s10584-017-2097-7,"Evidence for a climate-induced ecohydrological state shift in wetland ecosystems of the southern Prairie Pothole Region",2017
10.1007/s11027-018-9834-8,"Representative agricultural pathways, climate change, and agricultural land uses: an application to the Pacific Northwest of the USA",2019
10.1007/s10900-017-0462-0,"A Method for Guarding Animal Welfare and Public Health: Tracking the Rise of Backyard Poultry Ordinances",2018
10.1007/s10887-017-9151-1,"Geography, land inequality and regional numeracy in Europe in historical perspective",2018
10.1007/s10460-021-10196-z,"Exploring the mechanisms behind farmers’ perceptions of nutrient loss risk",2021
10.1007/s10460-021-10190-5,"A farm systems approach to the adoption of sustainable nitrogen management practices in California",2021
10.1007/s10460-021-10222-0,"Social finance for sustainable food systems: opportunities, tensions and ambiguities",2021
10.1007/s10460-021-10266-2,"Examining farmers’ adoption of nutrient management best management practices: a social cognitive framework",2021
10.1007/s10457-021-00708-5,"Temporal aspects of agroforestry adoption: SARE case study",2021
10.1007/s10584-020-02934-9,"Agricultural impacts of climate change in Indiana and potential adaptations",2020
10.1007/s10584-021-03154-5,"On the evaluation of heterogeneous climate change impacts on US agriculture: does group membership matter?",2021
10.1007/s10980-021-01199-6,"Assessment of playa wetland network connectivity for amphibians of the south-central Great Plains (USA) using graph-theoretical, least-cost path, and landscape resistance modelling",2021
10.1007/s10980-021-01385-6,"Drivers and constraints of land use transitions on Western grasslands: insights from a California mountain ranching community",2022
10.1007/s13165-020-00324-0,"Using the organic system plan template as a policy lever for improving biodiversity on US organic farms",2020
10.1007/s00027-020-00764-6,"Agricultural layering explains variation in sediment P dynamics in streams draining two distinct agricultural biomes",2021
10.1007/s10533-021-00755-1,"Soil organic carbon fractions in the Great Plains of the United States: an application of mid-infrared spectroscopy",2021
10.1007/s10708-020-10325-x,"Exploring different dimensions in defining the Alabama Black Belt",2020
10.1007/s13524-017-0581-3,"Tenancy, Marriage, and the Boll Weevil Infestation, 1892–1930",2017
10.1007/s13524-018-0693-4,"Places of Persistence: Slavery and the Geography of Intergenerational Mobility in the United States",2018
10.1007/s10098-017-1440-z,"An assessment of hydrothermal treatment of dairy waste as a tool for a sustainable phosphorus supply chain in comparison with commercial phosphatic fertilizers",2018
10.1007/s10113-018-1284-z,"A landscape ecology assessment of land-use change on the Great Plains-Denver (CO, USA) metropolitan edge",2018
10.1007/s13593-017-0478-y,"Ecological and economic benefits of integrating sheep into viticulture production",2018
10.1080/00218839.2018.1494914,"Identifying regions of risk to honey bees from Zika vector control in the USA",2018
10.1080/17597269.2021.1948758,"Influence of high carbonization temperatures on key performance indicators of Arundo donax derived biochars",2021
10.1080/14728028.2021.1980741,"Understanding black landowner’s engagement in forestry in Georgia, United States: a closer look",2021
10.1080/01431161.2019.1587205,"Comparing Sentinel-2 MSI and Landsat 8 OLI in soil salinity detection: a case study of agricultural lands in coastal North Carolina",2019
10.1080/1059924X.2022.2040072,"A Needs Assessment of Ohio Farmers’ Self-Reported Health Behaviors",2022
10.26882/histagrar.077e06s,"Flagging the lines: Basque immigrant sheepherders and the early US Forest Administration in Nevada, 1890-1920",2019
10.1590/s1982-21702021000100003,"Authoritative cartography in brazil and collaborative mapping platforms: Challenges and proposals for data integration",2021
10.5070/BP331044067,"Urban bites and agrarian bytes: Digital agriculture and extended urbanization",2020
10.3733/ca.2019a0019,"Characteristics of farms applying for cannabis cultivation permits",2019
10.1111/cuag.12219,"New Inquiries into the Agri-Cultures of the Middle",2018
10.1111/eva.12757,"Patterns of genetic differentiation in Colorado potato beetle correlate with contemporary, not historic, potato land cover",2019
10.1002/wsb.966,"Seasonal and interspecific landscape use of sympatric greater prairie-chickens and plains sharp-tailed grouse",2019
10.1142/9789811233630_0007,"Labor Composition of Fixed Costs, Heterogeneous Firms, and the US Labor Market",2021
10.1175/JCLI-D-18-0355.1,"Precipitation prediction skill for the west coast United States: From short to extended range",2019
10.1175/JCLI-D-17-0799.1,"The sensitivity of land-atmosphere coupling to modern agriculture in the northern midlatitudes",2019
10.1175/JCLI-D-21-0012.1,"Seasonally Dependent Future Changes in the U.S. Midwest Hydroclimate and Extremes",2022
10.21273/HORTTECH03358-16,"Can we grow organic or conventional vegetables sustainably without cover crops?",2017
10.21273/HORTTECH03348-16,"Long-term effect of manure application in a certified organic production system on soil physical and chemical parameters and vegetable yields",2017
10.21273/HORTTECH03144-16,"Production system and cultivar effects on the development of skin separation or ‘‘silvering’’ in bell pepper fruit",2017
10.21273/HORTTECH03753-17,"Assessing impact of coordinated comprehensive regional extension publications: A case study of the southern nursery integrated pest management working group",2017
10.21273/HORTTECH03865-17,"Response of Japanese privet to plastic mulch applied over nonspaced containers",2018
10.21273/HORTTECH03883-17,"Economic impact of drought- and shadetolerant bermudagrass varieties",2018
10.21273/HORTTECH04034-18,"Increasing student awareness and understanding of food security by integrating a service-learning project into an undergraduate hydroponic food production course",2018
10.21273/HORTTECH04056-18,"Organic mulch effects on high tunnel lettuce in Southern New England",2018
10.21273/HORTTECH04147-18,"Farmer perceptions of tunnels for berry production: Management and marketing implications",2018
10.21273/horttech04135-18,"The status and future of the strawberry industry in the United States",2019
10.21273/HORTTECH04199-18,"Evaluation of watermelon varieties under organic production practices in Georgia",2019
10.21273/HORTTECH04214-18,"Perceptions of precision agriculture technologies in the U.S. fresh apple industry",2019
10.21273/HORTTECH04336-19,"Creating a sense of belonging for hispanic farmers and farmworkers in agricultural programming",2019
10.21273/HORTTECH04311-19,"The impact of weeding regime, planting density, and growth habits on watermelon yield in an organic system",2019
10.21273/HORTTECH04393-19,"Polyethylene and biodegradable plastic mulches for strawberry production in the united states: Experiences and opinions of growers in three regions",2019
10.21273/HORTTECH04349-19,"Growth, flowering, and powdery mildew-related responses of witchhazels in tennessee",2019
10.21273/HORTTECH04302-19,"Irrigating nursery crops with recycled run-off: A review of the potential impact of pesticides on plant growth and physiology",2019
10.21273/HORTTECH04392-19,"Container size and shade duration affect growth of flowering dogwood",2019
10.21273/HORTTECH04425-19,"Yield and fruit quality traits of two plantain cultivars grown at two locations in Puerto Rico under black leaf streak disease pressure",2019
10.21273/HORTTECH04435-19,"Economic effect of insect pest management strategies on small-scale tomato production in Mississippi",2020
10.21273/HORTTECH04559-19,"Use of polyethylene and plastic biodegradable mulches among tennessee fruit and vegetable growers",2020
10.21273/HORTTECH04528-19,"Measuring the economic and educational value of a university-based service-learning floral and plant program",2020
10.21273/HORTTECH04667-20,"U.S. southeastern peach growers preferences for fruit size and external color versus resistance to brown rot disease",2020
10.21273/HORTTECH04674-20,"The effects of black and white plastic mulch on soil temperature and yield of crisphead lettuce in southern New England",2020
10.21273/HORTTECH04693-20,"High impact extension programming with instagram",2020
10.21273/HORTTECH04689-20,"Performance of sweetpotato varieties grown using black plastic mulch in pennsylvania",2020
10.21273/HORTTECH04690-20,"Nitrogen fertilizer management and cuitivar selection for cabbage production in the Southeastern United States",2020
10.21273/HORTTECH04744-20,"Miniature head lettuce yield and anthocyanin concentration under high tunnels and the field in georgia",2021
10.21273/HORTTECH03906-17,"Vegetable amaranths for summer greens production in the northeastern United States",2018
10.21273/HORTTECH04836-21,"Growing saffron crocus in the northeastern united states: Effects of winter protection and planting density",2021
10.21273/HORTTECH04914-21,"Yield and Fruit Quality Traits of Two Banana Cultivars Grown at Two Locations in Puerto Rico under Black Leaf Streak Disease Pressure",2021
10.21273/HORTTECH04827-21,"Apple Grower Research and Extension Needs for Craft Cider",2022
10.21273/HORTTECH04979-21,"Evaluation of 12 Sweetpotato Clones in Coastal South Carolina for Yield and Insect Resistance Using Organic and Conventional Cultural Practices",2022
10.21273/HORTTECH05038-22,"Commercial Urban Agriculture in Florida: Needs, Opportunities, and Barriers",2022
10.21273/HORTTECH05251-23,"Cultivar and Fungicide Evaluations for Cercospora Leaf Spot Control in Organic and Conventional Table Beet Production",2023
10.21273/HORTTECH05252-23,"Climate-ready Landscape Plants: Garden Roses Trialed at Reduced Irrigation Frequency in Utah, USA",2023
10.21273/HORTTECH05283-23,"Watermelon Production under Protected Culture in Missouri, USA, to Reach the Local Fourth of July Market",2023
10.13031/aim.202100044,"Phosphorus runoff from sandy soils under conservation tillage with surface broadcasted recovered phosphates",2021
10.13031/aea.12043,"Laboratory and full boom-based investigation of nozzle setup error effects on flow, pressure, and spray pattern distribution",2017
10.13031/aea.12352,"On-farm irrigation reservoirs in two Arkansas critical groundwater regions: A comparative inventory",2017
10.13031/aea.12615,"Supplemental irrigation for grain sorghum production in the U.S. eastern Coastal Plain",2018
10.13031/aea.12663,"Life-cycle analysis of advanced manure management systems for a Wisconsin confined animal feeding operation (Cafo)",2019
10.13031/aea.12597,"A subsurface drip irrigation system for weighing lysimetry",2018
10.13031/aea.13128837,"Identifying advantages and disadvantages of variable rate irrigation: An updated review",2019
10.13031/aea.13107,"An economic analysis of rewind, premium, and standard efficiency vertical hollow shaft motors for irrigation",2020
10.13031/AEA.13962,"Development of a wireless sensor network for tracking flood irrigation management in production-sized rice fields in the mid-south",2020
10.13031/AEA.13909,"Irrigator pro: Progression of a peanut irrigation scheduling decision support system",2020
10.13031/AEA.13738,"Development of a wireless sensor network for field level strawberry disease alert systems",2021
10.13031/aea.15071,"USING NDVI FOR VARIABLE RATE COTTON IRRIGATION PRESCRIPTIONS",2022
10.13031/aea.15226,"MAPPING AGRICULTURAL DRAINAGE EXTENT IN THE U.S. CORN BELT: THE VALUE OF MULTIPLE METHODS",2022
10.1063/5.0054674,"Evolution of agrivoltaic farms in Japan",2021
10.1093/ornithapp/duab005,"Combination of targeted monitoring and Breeding Bird Survey data improves population trend estimation and species distribution modeling for the Common Nighthawk",2021
10.21037/tcr-22-2540,"The evidence for Mycobacterium avium subspecies paratuberculosis (MAP) as a cause of nonsolar uveal melanoma: a narrative review",2023
10.2134/agronj2016.06.0364,"Assessing the options to improve regional wheat yield in eastern canada using the csm–ceres–wheat model",2017
10.2134/agronj2016.07.0420,"Long-term crop rotation effects on production, grain quality, profitability, and risk in the northern great plains",2017
10.2134/agronj2017.04.0206,"Potassium rates affected potassium uptake and use efficiency in drip-irrigated tomato",2017
10.2134/agronj2017.08.0504,"Is corn stover harvest predictable using farm operation, technology, and management variables?",2018
10.2134/agronj2017.08.0454,"Propelled abrasive grit for weed control in organic silage corn",2018
10.2134/agronj2017.08.0449,"Nutrient release from living and terminated cover crops under variable freeze–thaw cycles",2018
10.2134/agronj2017.08.0475,"Water use efficiency in living mulch and annual cover crop corn production systems",2018
10.2134/agronj2017.08.0485,"Agronomic and economic effects of two enhanced-efficiency urea fertilizer technologies on southern great plains winter wheat",2018
10.2134/agronj2017.12.0706,"Comparison of two tillage practices in a semi-arid cotton–grain sorghum rotation",2018
10.2134/agronj2018.03.0172,"Long-term biomass and potential ethanol yields of annual and perennial biofuel crops",2019
10.2134/agronj2018.05.0309,"Alternatives to timothy grown in mixture with alfalfa in eastern Canada",2019
10.2134/agronj2018.06.0404,"Nitrogen and phosphorous fertilizer timing, source, and placement in sugarbeet",2019
10.2134/agronj2018.09.0558,"Development and evaluation of soil moisture-based indices for agricultural drought monitoring",2019
10.2134/agronj2018.04.0277,"Economics and agronomics of relay-cropping pennycress and Camelina with Soybean in Minnesota",2019
10.2134/agronj2018.12.0779,"Setting the record straight on precision agriculture adoption",2019
10.2134/agronj2019.02.0073,"Nitrogen sidedress directed by corn canopy reflectance for manured fields",2019
10.13031/irrig.2020-025,"Impact of Irrigation and Nitrogen Management Strategies on Sugarbeet (Beta vulgaris L.) Yield, Evapotranspiration, and Crop Water productivity",2020
10.13031/irrig.2020-106,"Mobile Drip Irrigation Transforming Center Pivots Through Drip Technology",2020
10.13031/irrig.2020-023,"Challenges and opportunities in intelligent decision-making for the center pivot irrigation system in the US",2020
10.13031/irrig.2020-133,"Drip-based Compact Bed Geometry for Improving Economic and Environmental Sustainability of Fresh Produce",2020
10.13031/irrig.2020-026,"Crop Rotation, Irrigation System, and Irrigation Rate on Cotton Yield in Southwest Georgia",2020
10.13031/irrig.2020-116,"Factors Affecting In-Field Soil Water Variability and Irrigation",2020
10.13031/irrig.2020-034,"Annually estimating irrigation use in Texas",2020
10.13031/irrig.2020-050,"Irrigation Scheduling Tools: IrrigWise and IrrigWise-PRISM for Agricultural Crops and Urban Landscapes",2020
10.1146/annurev-animal-022516-022921,"Climate Adaptation of Tropical Cattle",2017
10.1016/j.ecss.2018.01.005,"Estimating nitrogen loading and far-field dispersal potential from background sources and coastal finfish aquaculture: A simple framework and case study in Atlantic Canada",2018
10.1016/j.ecss.2019.01.015,"Application of the extractable lipofuscin aging method to estimate mortality and population dynamics of the burrowing shrimp, Neotrypaea californiensis",2019
10.1016/j.jeem.2016.08.006,"Does the conservation of land reduce development? An econometric-based landscape simulation with land market feedbacks",2017
10.1016/j.jeem.2018.03.009,"A Forward-Looking Ricardian Approach: Do land markets capitalize climate change forecasts?",2018
10.1016/j.jeem.2018.08.007,"Evaluating impacts of agricultural cost sharing on water quality: Additionality, crowding In, and slippage",2018
10.1016/j.jeem.2019.06.001,"Microclimate effects of wind farms on local crop yields",2019
10.1016/j.jeem.2023.102799,"The Economic Value of Clarifying Property Rights: Evidence from Water in Idaho's Snake River Basin",2023
10.1016/j.ecoenv.2021.112327,"Association between pesticide exposure and colorectal cancer risk and incidence: A systematic review",2021
10.1016/j.fsi.2021.09.006,"Immunological assays of hemocytes in the Northern Quahog Mercenaria mercenaria",2021
10.1016/bs.aecr.2021.01.003,"Designing agricultural landscapes for arthropod-based ecosystem services in North America",2021
10.2166/WQRJ.2019.035,"Exploring private water wells for fecal sources and evidence of pathogen presence in the context of current testing practices for potability in Ontario",2020
10.1016/j.biocontrol.2020.104235,"Fungal biocontrol against Meloidogyne spp. in agricultural crops: A systematic review and meta-analysis",2020
10.1111/1541-4337.12434,"Meeting Report: Key Outcomes from a Collaborative Summit on Agricultural Water Standards for Fresh Produce",2019
10.1111/1752-1688.12517,"Decreased Runoff Response to Precipitation, Little Missouri River Basin, Northern Great Plains, USA",2017
10.1111/1752-1688.12591,"Influence of Bioenergy Crop Production and Climate Change on Ecosystem Services",2017
10.1111/1752-1688.12593,"Assessment of Bioenergy Cropping Scenarios for the Boone River Watershed in North Central Iowa, United States",2017
10.1111/1752-1688.12620,"Case Study Comparing Multiple Irrigated Land Datasets in Arizona and Colorado, USA",2018
10.1111/1752-1688.12619,"Water Transactions for Streamflow Restoration, Water Supply Reliability, and Rural Economic Vitality in the Western United States",2018
10.1111/1752-1688.12741,"Private Actions and Preferences for Coordinated Groundwater Conservation in Colorado's Republican River Basin",2019
10.1111/1752-1688.12747,"Drivers of Interbasin Transfers in the United States: Insights from Sampling",2019
10.1111/1752-1688.12788,"Maximizing Returns from Payments for Water-Based Ecosystem Services: Incorporating Externality Effects of Land Management",2019
10.1111/1752-1688.12792,"Phosphorus and Nitrogen Transport in the Binational Great Lakes Basin Estimated Using SPARROW Watershed Models",2019
10.1111/1752-1688.12892,"Spatial and Temporal Patterns of Low Streamflow and Precipitation Changes in the Chesapeake Bay Watershed",2021
10.1111/jac.12219,"Glycine max and Glycine soja are capable of cold acclimation",2017
10.1111/1477-8947.12180,"The effects of agricultural cooperatives on smallholder livelihoods and agricultural performance in Cambodia",2019
10.1016/B978-0-08-100596-5.22157-4,"Farming systems in North America",2018
10.1016/j.agwat.2017.10.013,"Willingness to pay for irrigation water when groundwater is scarce",2018
10.1016/j.agwat.2017.11.008,"Assessing explanatory factors for variation in on-farm irrigation in US maize-soybean systems",2018
10.1016/j.agwat.2017.12.019,"Evaluating performances of the first automatic system for paddy irrigation in Europe",2018
10.1016/j.agwat.2018.03.024,"Soybean crop-water production functions in a humid region across years and soils determined with APEX model",2018
10.1016/j.agwat.2018.06.040,"Trends in the construction of on-farm irrigation reservoirs in response to aquifer decline in eastern Arkansas: Implications for conjunctive water resource management",2018
10.1016/j.agwat.2018.09.034,"Urban agriculture and small farm water use: Case studies and trends from Cache Valley, Utah",2019
10.1016/j.agwat.2018.07.017,"Adjusting irrigation uniformity coefficients for unimportant variability on a small scale",2019
10.1016/j.agwat.2019.02.033,"Projection of 21st century irrigation water requirement across the Lower Mississippi Alluvial Valley",2019
10.1016/j.agwat.2019.03.044,"A simulation model for estimating root zone saturation indices of agricultural crops in a shallow aquifer and canal system",2019
10.1016/j.agwat.2019.06.010,"Estimating irrigation demand with geospatial and in-situ data: Application to the high plains aquifer, Kansas, USA",2019
10.1016/j.agwat.2019.105699,"Simulated water quality and irrigation benefits from drainage water recycling at two tile-drained sites in the U.S. Midwest",2019
10.1016/j.agwat.2019.105728,"An investigation of seasonal precipitation patterns for rainfed agriculture in the Southeastern region of the United States",2019
10.1016/j.agwat.2019.105812,"Intelligent urban irrigation systems: Saving water and maintaining crop yields",2019
10.1016/j.agwat.2019.105840,"Characterization of water use and productivity dynamics across four C3 and C4 row crops under optimal growth conditions",2020
10.1016/j.agwat.2020.106122,"Water productivity benchmarks: The case of maize and soybean in Nebraska",2020
10.1016/j.agwat.2020.106226,"A tiered stochastic framework for assessing crop yield loss risks due to water scarcity under different uncertainty levels",2020
10.1016/j.agwat.2020.106438,"A decade of irrigation water use trends in Southwest USA: The role of irrigation technology, best management practices, and outreach education programs",2021
10.1016/j.agwat.2020.106425,"Assessing benefits of artificial drainage on soybean yield in the North Central US region",2021
10.1016/j.agwat.2021.107061,"Inter-relationships between water depletion and temperature differential in row crop canopies in a sub-humid climate",2021
10.1016/j.agwat.2021.107106,"Characterization of water use and water balance for the croplands of Kansas using satellite, climate, and irrigation data",2021
10.1016/j.agwat.2022.107614,"Effects of subsurface drip-irrigated soybean seeding rates on grain yield, evapotranspiration and water productivity under limited and full irrigation and rainfed conditions",2022
10.1016/j.agwat.2022.107792,"Satellite remote sensing of crop water use across the Missouri River Basin for 1986–2018 period",2022
10.1016/j.agwat.2022.107764,"Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer region",2022
10.1016/j.agwat.2022.107862,"Modeling the impact of winter cover crop on tile drainage and nitrate loss using DSSAT model",2022
10.1016/j.agwat.2022.107957,"Real-time irrigation scheduling of maize using Degrees Above Non-Stressed (DANS) index in semi-arid environment",2022
10.1016/j.agwat.2023.108179,"Drainage water recycling reduced nitrogen, phosphorus, and sediment losses from a drained agricultural field in eastern North Carolina, U.S.A.",2023
