,title,doi,year,exists_in_openalex
19,Vulnerability of specialty crops to short-term climatic variability and adaptation strategies in the Midwestern USA,10.1007/s10584-017-2066-1,2017,True
20,Does organic farming present greater opportunities for employment and community development than conventional farming? A survey-based investigation in California and Washington,10.1080/21683565.2017.1394416,2017,True
21,Anatomy of the 2016 drought in the Northeastern United States: Implications for agriculture and water resources in humid climates,10.1016/j.agrformet.2017.08.024,2017,True
22,Bioenergy Potential from Food Waste in California,10.1021/acs.est.6b04591,2017,True
23,Using the 500 m MODIS land cover product to derive a consistent continental scale 30 m Landsat land cover classification,10.1016/j.rse.2017.05.024,2017,True
24,Continued decrease of open surface water body area in Oklahoma during 1984–2015,10.1016/j.scitotenv.2017.03.259,2017,True
25,Rangewide Trends in Landuse and Northern Bobwhite Abundance: An Exploratory Analysis,10.7290/nqsp052n86,2017,True
26,Visualizing the social and geographical embeddedness of local food systems,10.1016/j.jrurstud.2017.06.023,2017,True
27,Groundwater depletion and climate change: future prospects of crop production in the Central High Plains Aquifer,10.1007/s10584-017-1947-7,2017,True
28,Future Scenarios of Land Change Based on Empirical Data and Demographic Trends,10.1002/2017ef000560,2017,True
29,Drought impacts to water footprints and virtual water transfers of the <scp>C</scp>entral <scp>V</scp>alley of <scp>C</scp>alifornia,10.1002/2016wr020251,2017,True
30,"Road Traffic Crash Data: An Overview on Sources, Problems, and Collection Methods",10.4236/jtts.2017.72015,2017,True
31,Discrepancies and Uncertainties in Bottom-up Gridded Inventories of Livestock Methane Emissions for the Contiguous United States,10.1021/acs.est.7b03332,2017,True
32,"Family as a catalyst in farms' diversifying agricultural products: A mixed methods analysis of diversified and non-diversified farms in Indiana, Michigan and Ohio",10.1016/j.jrurstud.2017.08.017,2017,True
33,Energy crop mapping with enhanced TM/MODIS time series in the BCAP agricultural lands,10.1016/j.isprsjprs.2016.12.002,2017,True
34,Evaluating the Drivers of Seasonal Streamflow in the U.S. Midwest,10.3390/w9090695,2017,True
35,Combining habitat loss and agricultural intensification improves our understanding of drivers of change in avian abundance in a North American cropland anthrome,10.1002/ece3.2670,2017,True
36,Livestock and poultry density and childhood cancer incidence in nine states in the USA,10.1016/j.envres.2017.08.023,2017,True
37,Simulated water quality effects of alternate grazing management practices at the ranch and watershed scales,10.1016/j.ecolmodel.2017.06.019,2017,True
38,"Bringing the “social” into sociohydrology: Conservation policy support in the <scp>C</scp> entral <scp>G</scp> reat <scp>P</scp> lains of <scp>K</scp> ansas, <scp>USA</scp>",10.1002/2017wr020659,2017,True
39,Annual bioenergy crops for biofuels production: Farmers' contractual preferences for producing sweet sorghum,10.1016/j.energy.2016.11.032,2017,True
40,"Survey of Missouri Pesticide Applicator Practices, Knowledge, and Perceptions",10.1017/wet.2016.27,2017,True
41,"Mixed methods approach to understanding farmer and agricultural advisor perceptions of climate change and adaptation in Vermont, United States",10.1080/21683565.2017.1357667,2017,True
42,How knowledge deficit interventions fail to resolve beginning farmer challenges,10.1007/s10460-017-9832-6,2017,True
43,Estimating Available Abandoned Cropland in the United States: Possibilities for Energy Crop Production,10.1080/24694452.2017.1298985,2017,True
44,Vulnerability of California specialty crops to projected mid-century temperature changes,10.1007/s10584-017-2011-3,2017,True
45,"Passive Sampling for Indoor and Outdoor Exposures to Chlorpyrifos, Azinphos-Methyl, and Oxygen Analogs in a Rural Agricultural Community",10.1289/ehp425,2017,True
46,How important is farm profitability to meat goat farmers?,10.15232/pas.2017-01627,2017,True
47,Spatially Representing Vulnerability to Extreme Rain Events Using Midwestern Farmers’ Objective and Perceived Attributes of Adaptive Capacity,10.1111/risa.12943,2017,True
48,Developing crop specific area frame stratifications based on geospatial crop frequency and cultivation data layers,10.1016/s2095-3119(16)61396-5,2017,True
49,Assessment of irrigation physics in a land surface modeling framework using non-traditional and human-practice datasets,10.5194/hess-21-2953-2017,2017,True
50,Lifetime allergic rhinitis prevalence among US primary farm operators: findings from the 2011 Farm and Ranch Safety survey,10.1007/s00420-017-1217-z,2017,True
51,The 2012 Census of Agriculture: A Capture–Recapture Analysis,10.1007/s13253-017-0303-8,2017,True
52,"Targeted subfield switchgrass integration could improve the farm economy, water quality, and bioenergy feedstock production",10.1111/gcbb.12481,2017,True
53,Farmers Who Don't Farm: The Curious Rise of the Zero-Sales Farmer,10.5304/jafscd.2017.074.005,2017,True
54,Swine exposure and methicillin-resistant Staphylococcus aureus infection among hospitalized patients with skin and soft tissue infections in Illinois: A ZIP code-level analysis,10.1016/j.envres.2017.07.037,2017,True
55,"EXTERNALITIES, PROFIT, AND LAND STEWARDSHIP: CONFLICTING MOTIVES FOR SOIL AND WATER CONSERVATION ADOPTION AMONG ABSENTEE LANDOWNERS AND ON-FARM PRODUCERS",10.1017/aae.2016.45,2017,True
56,Using a Market Basket to Explore Regional Food Systems,10.5304/jafscd.2017.074.018,2017,True
57,Combining two wrongs to make two rights: Mitigating food insecurity and food waste through gleaning operations,10.1016/j.foodpol.2016.12.004,2017,True
58,"Grower networks support adoption of innovations in pollination management: The roles of social learning, technical learning, and personal experience",10.1016/j.jenvman.2017.07.077,2017,True
59,Managing for delicious ecosystem service under climate change: can United States sugar maple (<i>Acer saccharum</i>) syrup production be maintained in a warming climate?,10.1080/21513732.2017.1285815,2017,True
60,"CROP PRODUCTION COSTS, PROFITS, AND ECOSYSTEM STEWARDSHIP WITH PRECISION AGRICULTURE",10.1017/aae.2017.23,2017,True
61,Understanding Predictors of Nutrient Management Practice Diversity in Midwestern Agriculture,10.34068/joe.55.06.48,2017,True
62,Influences on farmer and rancher interest in supplying woody biomass for energy in the US Northern Great Plains,10.1007/s10457-017-0170-x,2017,True
63,Injury risk factors to farm and ranch operators in the Central United States,10.1002/ajim.22757,2017,True
64,Food and Agricultural Industries: Opportunities for Improving Measurement and Reporting,10.1093/ajae/aaw105,2017,True
65,"Contradictions, consequences and the human toll of food safety culture",10.1007/s10460-017-9772-1,2017,True
66,Identifying Topics and Dissemination Methods for Agricultural Safety and Health Messages,10.3390/safety3010003,2017,True
67,Management characteristics of beef cattle production in the western United States,10.15232/pas.2017-01618,2017,True
68,Grazing intensity affects the environmental impact of dairy systems,10.3168/jds.2016-12325,2017,True
69,Development of groundwater pesticide exposure modeling scenarios for vulnerable spring and winter wheat‐growing areas,10.1002/ieam.1925,2017,True
70,A Retrospective Analysis of Agricultural Herbicides in Surface Water Reveals Risk Plausibility for Declines in Submerged Aquatic Vegetation,10.3390/toxics5030021,2017,True
71,Geospatial assessment of bioenergy land use and its impacts on soil erosion in the U.S. Midwest,10.1016/j.jenvman.2016.12.057,2017,True
72,‘Slow to change’: Farmers’ perceptions of place-based barriers to sustainable agriculture,10.1017/s1742170516000442,2017,True
73,Economic Evaluation of Coastal Land Loss in Louisiana,10.15351/2373-8456.1062,2017,True
74,Fringe Benefits,10.1177/0885412217726772,2017,True
75,White-tailed deer browse on an invasive shrub with extended leaf phenology meets assumptions of an apparent competition hypothesis,10.1093/aobpla/plx006,2017,True
76,The socioeconomic geography of organic agriculture in the United States,10.1080/21683565.2017.1359808,2017,True
77,Susceptibility of Boxwood Accessions from the National Boxwood Collection to Boxwood Blight and Potential for Differences between Calonectria pseudonaviculata and C. henricotiae,10.21273/hortsci11756-17,2017,True
78,Oregon producer and consumer engagement in regional food networks: Motivations and future opportunities,10.5304/jafscd.2017.074.008,2017,True
79,Critical Reflections on the USDA Local Food Economics Toolkit,10.5304/jafscd.2017.072.001,2017,True
80,"A systems approach to forecast agricultural land transformation and soil environmental risk from economic, policy, and cultural scenarios in the north central United States (2012–2062)",10.1080/14735903.2017.1288029,2017,True
81,"Irrigation, risk aversion, and water right priority under water supply uncertainty",10.1002/2016wr019779,2017,True
82,The impact of local agricultural production on farm to school expenditures,10.1017/s1742170517000552,2017,True
83,Mapping Potential Foodsheds Using Regionalized Consumer Expenditure Data for Southeastern Minnesota,10.5304/jafscd.2017.073.013,2017,True
84,A comprehensive approach for quantifying environmental costs associated with unpaved roads dust,10.1080/21606544.2017.1374214,2017,True
85,Farm and lender structural change: implications for federal credit,10.1108/afr-05-2016-0046,2017,True
86,Determinants of Motives for Land Use Decisions at the Margins of the Corn Belt,10.1016/j.ecolecon.2016.12.006,2017,True
87,"Evaluating the ranch and watershed scale impacts of using traditional and adaptive multi-paddock grazing on runoff, sediment and nutrient losses in North Texas, USA",10.1016/j.agee.2017.02.004,2017,True
88,A Case Study of Transitions in Farming and Farm Labor in Southwestern Idaho,10.5304/jafscd.2019.084.008,2019,True
89,"The adoption of conservation practices in the Corn Belt: the role of one formal farmer network, Practical Farmers of Iowa",10.1007/s10460-023-10451-5,2023,True
90,Succession Planning and Perceived Obstacles and Attractions for Future Generations Entering Beef Cattle Production,10.7771/2331-9151.1006,2017,True
91,Business data collection methodology: Current state and future outlook,10.3233/sji-200623,2020,True
92,Responsive and Adaptive Design for Survey Optimization,10.2478/jos-2018-0028,2018,True
93,Healthy Food Incentive Impacts on Direct-to-Consumer Sales: A Michigan Example,10.5304/jafscd.2018.081.006,2018,True
94,Nontimber forest products in the United States: an analysis for the 2015 National Sustainable Forest Report,10.2737/srs-gtr-229,2018,True
95,Adopting bioenergy crops: Does farmers’ attitude toward loss matter?,10.1111/agec.12501,2019,True
96,"Flood Susceptibility Mapping using Fuzzy Analytical Hierarchy Process for Cedar Rapids, Iowa",10.31223/x57344,2022,True
97,"National Estimates of Youth and Injuries on U.S. Farms, 2012",10.13031/jash.13014,2018,True
98,Impacts of Climate Change and Extreme Weather on U.S. Agricultural Productivity: Evidence and Projection,10.3386/w23533,2017,True
99,An Emerging Geography of the Agrarian Question: Spatial Analysis as a Tool for Identifying the New American Agrarianism,10.1111/ruso.12250,2018,True
100,Estimating the Number of Agricultural Fatal Injuries Prevented by Agricultural Engineering Developments in the United States,10.3390/safety5040063,2019,True
101,Assessing the joint adoption and complementarity between in-field conservation practices of Kansas farmers,10.1186/s40100-021-00201-8,2021,True
102,Seroprevalence of bovine Anaplasmosis in Georgia,10.1016/j.vprsr.2018.100258,2019,True
103,Regional Spatial-Temporal Spread of Citrus Huanglongbing Is Affected by Rain in Florida,10.1094/phyto-03-18-0088-r,2018,True
104,Modelling the domestic poultry population in the United States: A novel approach leveraging remote sensing and synthetic data methods,10.4081/gh.2020.913,2020,True
105,"A Decade of Irrigation Water use trends in Southwestern USA: The Role of Irrigation Technology, Best Management Practices, and Outreach Education Programs",10.1016/j.agwat.2020.106438,2021,True
106,Analyzing the Structural Shifts in U.S. Boxwood Production Due to Boxwood Blight,10.24266/0738-2898-39.3.91,2021,True
107,Mapping irrigated cropland extent across the conterminous United States at 30 m resolution using a semi-automatic training approach on Google Earth Engine,10.1016/j.isprsjprs.2019.07.005,2019,True
108,Groundwater Depletion Embedded in Domestic Transfers and International Exports of the United States,10.1029/2019wr024986,2020,True
109,Crop type mapping without field-level labels: Random forest transfer and unsupervised clustering techniques,10.1016/j.rse.2018.12.026,2019,True
110,A 30-m landsat-derived cropland extent product of Australia and China using random forest machine learning algorithm on Google Earth Engine cloud computing platform,10.1016/j.isprsjprs.2018.07.017,2018,True
111,Regional Frameworks for the USDA Long-Term Agroecosystem Research Network,10.3389/fsufs.2020.612785,2021,True
112,"Discovery of Haemaphysalis longicornis (Ixodida: Ixodidae) Parasitizing a Sheep in New Jersey, United States",10.1093/jme/tjy006,2018,True
113,"Racial, ethnic and gender inequities in farmland ownership and farming in the U.S.",10.1007/s10460-018-9883-3,2018,True
114,Local Food Supply Chain Dynamics and Resilience during <scp>COVID</scp>‐19,10.1002/aepp.13121,2020,True
115,Estimating the Impact of Drought on Agriculture Using the U.S. Drought Monitor,10.1093/ajae/aay037,2018,True
116,Understanding the Past and Present and Predicting the Future: Farmers’ Use of Multiple Nutrient Best Management Practices in the Upper Midwest,10.1080/08941920.2019.1574045,2019,True
117,Machine learning methods for crop yield prediction and climate change impact assessment in agriculture,10.1088/1748-9326/aae159,2018,True
118,"Invited review: Fate of antibiotic residues, antibiotic-resistant bacteria, and antibiotic resistance genes in US dairy manure management systems",10.3168/jds.2019-16778,2020,True
119,From the Ground to Space: Using Solar‐Induced Chlorophyll Fluorescence to Estimate Crop Productivity,10.1029/2020gl087474,2020,True
120,An assessment of acute insecticide toxicity loading (AITL) of chemical pesticides used on agricultural land in the United States,10.1371/journal.pone.0220029,2019,True
121,Farm size and productivity growth in the United States Corn Belt,10.1016/j.foodpol.2018.03.017,2019,True
122,rnassqs: An R package to access agricultural data via the USDA National Agricultural Statistics Service (USDA-NASS) ‘Quick Stats’ API,10.21105/joss.01880,2019,True
123,Environmental footprints of beef cattle production in the United States,10.1016/j.agsy.2018.11.005,2019,True
124,Disease Control for Snap Beans in Florida,10.32473/edis-vh055-2018,2018,True
125,Soil test phosphorus and phosphorus balance trends: A county‐level analysis in Ohio,10.1002/agj2.20146,2020,True
126,Barriers to implementing climate resilient agricultural strategies: The case of crop diversification in the U.S. Corn Belt,10.1016/j.gloenvcha.2017.12.002,2018,True
127,First Report of Bacterial Pineapple Heart Rot Caused by <i>Dickeya zeae</i> in Puerto Rico,10.1094/pdis-01-22-0174-pdn,2023,True
128,"Where is the USA Corn Belt, and how is it changing?",10.1016/j.scitotenv.2017.09.325,2018,True
129,Visitors and values: A qualitative analysis of agritourism operator motivations across the U.S.,10.5304/jafscd.2021.103.010,2021,True
130,Agritourism: Toward a Conceptual Framework for Industry Analysis,10.5304/jafscd.2018.081.016,2018,True
131,Mapping of 30-meter resolution tile-drained croplands using a geospatial modeling approach,10.1038/s41597-020-00596-x,2020,True
132,Drivers and constraints of land use transitions on Western grasslands: insights from a California mountain ranching community,10.1007/s10980-021-01385-6,2022,True
133,Recent rapid increase of cover crop adoption across the U.S. Midwest detected by fusing multi-source satellite data,10.31223/x5jw70,2022,True
134,Fifty years of Landsat science and impacts,10.1016/j.rse.2022.113195,2022,True
135,Changes in cropland area in the United States and the role of CRP,10.1016/j.foodpol.2018.02.001,2018,True
136,The Determinants of Beginning Farm Success,10.1017/aae.2022.6,2022,True
137,Validation and refinement of cropland data layer using a spatial-temporal decision tree algorithm,10.1038/s41597-022-01169-w,2022,True
138,Maize yield and nitrate loss prediction with machine learning algorithms,10.1088/1748-9326/ab5268,2019,True
139,Assessing the feasibility of using produced water for irrigation in Colorado,10.1016/j.scitotenv.2018.05.200,2018,True
140,Importance of Insect Pollinators for Florida Agriculture: A Systematic Review of the Literature,10.1653/024.104.0312,2021,True
141,Do Affluent Urban Consumers Drive Direct Food Sales in the Northeast United States? A Three-part Analysis,10.5304/jafscd.2018.082.005,2018,True
142,Biofuel impact on food prices index and land use change,10.1016/j.biombioe.2019.03.003,2019,True
143,Apple grower pollination practices and perceptions of alternative pollinators in New York and Pennsylvania,10.1017/s1742170518000145,2018,True
144,"Adoption of Sustainable Agriculture Practices among Farmers in Kentucky, USA",10.1007/s00267-018-1109-3,2018,True
145,"First Report of Downy Mildew on Blackberry Caused by <i>Peronospora sparsa</i> in Georgia, U.S.A.",10.1094/pdis-09-19-1962-pdn,2020,True
146,Marcellus Shale Gas Development and Farming,10.1017/age.2017.28,2018,True
147,Estimation of water balance and water yield in the Reedy Fork-Buffalo Creek Watershed in North Carolina using SWAT,10.1016/j.iswcr.2018.03.007,2018,True
148,Model-Based County Level Crop Estimates Incorporating Auxiliary Sources of Information,10.1111/rssa.12390,2018,True
149,"Assessment of digital technology adoption and access barriers among crop, dairy and livestock producers in Wisconsin",10.1016/j.compag.2019.104960,2019,True
150,Implications of urban growth and farmland loss for ecosystem services in the western United States,10.1016/j.landusepol.2019.04.029,2019,True
151,Online Sales: A Direct Marketing Opportunity for Rural Farms?,10.1017/aae.2019.44,2020,True
152,"Community‐supported agriculture in the United States: Social, ecological, and economic benefits to farming",10.1111/joac.12280,2018,True
153,Direct marketing channel choices among US farmers: evidence from the Local Food Marketing Practices Survey,10.1017/s1742170519000085,2019,True
154,Coccidioidomycosis Dynamics in Relation to Climate in the Southwestern United States,10.1002/2017gh000095,2018,True
155,A Statewide Survey of Stakeholders to Assess the Problem Weeds and Weed Management Practices in Nebraska,10.1017/wet.2018.35,2018,True
156,"Landsat-based Irrigation Dataset (LANID): 30 m resolution maps of irrigation distribution, frequency, and change for the US, 1997–2017",10.5194/essd-13-5689-2021,2021,True
157,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,10.1002/aepp.13256,2022,True
158,"Trends in Land Use, Irrigation, and Streamflow Alteration in the Mississippi River Alluvial Plain",10.3389/fenvs.2020.00066,2020,True
159,"Past, Present, and Future of Irrigation on the U.S. Great Plains",10.13031/trans.13620,2020,True
160,Long‐term terrestrial carbon dynamics in the Midwestern United States during 1850–2015: Roles of land use and cover change and agricultural management,10.1111/gcb.14074,2018,True
161,Agritourism and direct sales clusters in the United States,10.1017/age.2023.1,2023,True
162,"Symposium review: Uncertainties in enteric methane inventories, measurement techniques, and prediction models",10.3168/jds.2017-13536,2018,True
163,Big data technology adoption in beef production,10.1016/j.atech.2023.100235,2023,True
164,Long-Term (1986–2015) Crop Water Use Characterization over the Upper Rio Grande Basin of United States and Mexico Using Landsat-Based Evapotranspiration,10.3390/rs11131587,2019,True
165,Phosphorus flows and legacy accumulation in an animal-dominated agricultural region from 1925 to 2012,10.1016/j.gloenvcha.2018.02.017,2018,True
166,Nationwide shift to grass-fed beef requires larger cattle population,10.1088/1748-9326/aad401,2018,True
167,The Biological Assessment and Rehabilitation of the World’s Rivers: An Overview,10.3390/w13030371,2021,True
168,Microclimate effects of wind farms on local crop yields,10.1016/j.jeem.2019.06.001,2019,True
169,Constraints to implementing the food-energy-water nexus concept: Governance in the Lower Colorado River Basin,10.1016/j.envsci.2018.11.027,2019,True
170,Determinants of adoption and adoption intensity of precision agriculture technologies: evidence from South Dakota,10.1007/s11119-020-09750-2,2020,True
171,Adoption of Cover Crops by U.S. Soybean Producers,10.1017/aae.2019.20,2019,True
172,Beyond the nutrient strategies: Common ground to accelerate agricultural water quality improvement in the upper Midwest,10.1016/j.jenvman.2017.11.051,2018,True
173,Did the Paycheck Protection Program and Economic Injury Disaster Loan Program get disbursed to minority communities in the early stages of COVID-19?,10.1007/s11187-021-00501-9,2021,True
174,Do direct market farms use fewer agricultural chemicals? Evidence from the US census of agriculture,10.1017/s1742170517000758,2018,True
175,Exploring a Big Data Approach to Building a List Frame for Urban Agriculture: A Pilot Study in the City of Baltimore,10.2478/jos-2018-0015,2018,True
176,The U.S. Fresh Fruit and Vegetable Industry: An Overview of Production and Trade,10.3390/agriculture12101719,2022,True
177,"Association between increasing agricultural use of 2,4-D and population biomarkers of exposure: findings from the National Health and Nutrition Examination Survey, 2001–2014",10.1186/s12940-021-00815-x,2022,True
178,Modeling nation-wide U.S. swine movement networks at the resolution of the individual premises,10.1016/j.epidem.2022.100636,2022,True
179,The State of US Farm Operator Livelihoods,10.3389/fsufs.2021.795901,2022,True
180,Use of a voluntary testing program to study the spatial epidemiology of Johne’s disease affecting dairy herds in Minnesota: a cross sectional study,10.1186/s12917-019-2155-7,2019,True
181,What Drives Land Use Change in the Southern U.S.? A Case Study of Alabama,10.3390/f14020171,2023,True
182,"National report on sustainable forests, 2020",10.2737/fs-1217,2023,True
183,Characterizing Crop Water Use Dynamics in the Central Valley of California Using Landsat-Derived Evapotranspiration,10.3390/rs11151782,2019,True
184,Modeling U.S. cattle movements until the cows come home: Who ships to whom and how many?,10.1016/j.compag.2022.107483,2022,True
185,Understanding participation in farm to school programs: Results integrating school and supply-side factors,10.1016/j.foodpol.2017.12.006,2018,True
186,Addressing Challenges for Mapping Irrigated Fields in Subhumid Temperate Regions by Integrating Remote Sensing and Hydroclimatic Data,10.3390/rs11030370,2019,True
187,Farm business financial performance in local foods value chains,10.1108/afr-08-2017-0071,2018,True
188,The Dynamics of Supply: U.S. Corn and Soybeans in the Biofuel Era,10.3368/le.94.4.593,2018,True
189,"Modeling effects of crop production, energy development and conservation-grassland loss on avian habitat",10.1371/journal.pone.0198382,2019,True
190,Rancher Preferences for a Payment for Ecosystem Services Program in Southwestern Wyoming,10.1016/j.ecolecon.2017.10.013,2018,True
191,Anthelmintic efficacy against equine strongyles in the United States,10.1016/j.vetpar.2018.07.003,2018,True
192,Pixelating crop production: Consequences of methodological choices,10.1371/journal.pone.0212281,2019,True
193,What Is the Use Value of Irrigation Water from the High Plains Aquifer?,10.1093/ajae/aay062,2018,True
194,Cannabis farmers or criminals? Enforcement-first approaches fuel disparity and hinder regulation,10.3733/ca.2019a0017,2019,True
195,Using the Landsat archive to map crop cover history across the United States,10.1016/j.rse.2019.111286,2019,True
196,"Growing pains in local food systems: a longitudinal social network analysis on local food marketing in Baltimore County, Maryland and Chester County, Pennsylvania",10.1007/s10460-021-10199-w,2021,True
197,"Effects of Low pH of Hydroponic Nutrient Solution on Plant Growth, Nutrient Uptake, and Root Rot Disease Incidence of Basil (Ocimum basilicum L.)",10.21273/hortsci14986-20,2020,True
198,"Potential greenhouse gas reductions from Natural Climate Solutions in Oregon, USA",10.1371/journal.pone.0230424,2020,True
199,Opportunities and Challenges in Conducting Economic Research on Food Loss and Waste,10.1093/aepp/ppy035,2019,True
200,Parasite control strategies used by equine owners in the United States: A national survey,10.1016/j.vetpar.2017.12.012,2018,True
201,From farming to food systems: the evolution of US agricultural production and policy into the 21st century,10.1017/s1742170518000522,2018,True
202,"Estimating and comparing cropland nitrogen need with dairy farm nutrient recovery: a case study in Whatcom County, WA",10.1017/s1742170520000198,2020,True
203,Prevalence and Genetic Diversity of Grabloviruses in Free-Living <i>Vitis</i> spp.,10.1094/pdis-03-18-0496-re,2018,True
204,Cascading impacts of climate change on southwestern US cropland agriculture,10.1007/s10584-018-2220-4,2018,True
205,Effects of crop insurance on farm disinvestment and exit decisions,10.1093/erae/jbz035,2019,True
206,Exploring Regional Patterns of Agritourism in the U.S.: What's Driving Clusters of Enterprises?,10.1017/age.2017.36,2018,True
207,Increasing carbon footprint of grain crop production in the US Western Corn Belt,10.1088/1748-9326/aae9fe,2018,True
208,The value of values-based supply chains: farmer perspective,10.1007/s10460-021-10255-5,2021,True
209,Using object-based image analysis to map commercial poultry operations from high resolution imagery to support animal health outbreaks and events,10.4081/gh.2020.919,2020,True
210,Do shallow water tables contribute to high and stable maize yields in the US Corn Belt?,10.1016/j.gfs.2018.07.002,2018,True
211,Aircraft-based inversions quantify the importance of wetlands and livestock for Upper Midwest methane emissions,10.5194/acp-21-951-2021,2021,True
212,In-Season Major Crop-Type Identification for US Cropland from Landsat Images Using Crop-Rotation Pattern and Progressive Data Classification,10.3390/agriculture9010017,2019,True
213,Estimation of swine movement network at farm level in the US from the Census of Agriculture data,10.1038/s41598-019-42616-w,2019,True
214,An Improved Approach Considering Intraclass Variability for Mapping Winter Wheat Using Multitemporal MODIS EVI Images,10.3390/rs11101191,2019,True
215,Willingness to pay for irrigation water when groundwater is scarce,10.1016/j.agwat.2017.10.013,2018,True
216,Are Farmers Made Whole by Trade Aid?,10.1002/aepp.13045,2020,True
217,"Willingness to Pay for Shrimp with Homegrown by Heroes, Community-Supported Fishery, Best Aquaculture Practices, or Local Attributes",10.1017/aae.2019.19,2019,True
218,"Pesticide use, allergic rhinitis, and asthma among US farm operators",10.1080/1059924x.2018.1501451,2018,True
219,Estimating the Blue Water Footprint of In-Field Crop Losses: A Case Study of U.S. Potato Cultivation,10.3390/su10082854,2018,True
220,Disentangling the influence of livestock vs. farm density on livestock disease epidemics,10.1002/ecs2.2294,2018,True
221,Optimizing Spatial Land Management to Balance Water Quality and Economic Returns in a Lake Erie Watershed,10.1016/j.ecolecon.2017.08.015,2018,True
222,Putting pesticides on the map for pollinator research and conservation,10.1038/s41597-022-01584-z,2022,True
223,Summer Climate Change in the Midwest and Great Plains due to Agricultural Development during the Twentieth Century,10.1175/jcli-d-19-0096.1,2019,True
224,Technological progress in the US catfish industry,10.1111/jwas.12877,2022,True
225,Assessing Nonresponse Bias in Farm Injury Surveillance Data,10.13031/jash.14554,2021,True
226,"COVID-19’s Impact on Farmers Market Sales in the Washington, D.C., Area",10.1017/aae.2020.37,2021,True
227,Assessing nitrous oxide and nitrate leaching mitigation potential in US corn crop systems using the DNDC model,10.1016/j.agsy.2019.05.005,2019,True
228,Management characteristics of Pennsylvania dairy farms,10.15232/aas.2018-01833,2019,True
229,Improving corn yield prediction across the US Corn Belt by replacing air temperature with daily MODIS land surface temperature,10.1016/j.agrformet.2019.107615,2019,True
230,Piecing together the data of the U.S. marine aquaculture puzzle,10.1016/j.jenvman.2022.114623,2022,True
231,Integrating multimedia models to assess nitrogen losses from the Mississippi River basin to the Gulf of Mexico,10.5194/bg-15-7059-2018,2018,True
232,Anticipating trade-offs between urban patterns and ecosystem service production: Scenario analyses of sprawl alternatives for a rapidly urbanizing region,10.1016/j.compenvurbsys.2018.10.003,2019,True
233,Facilitating Crop–Livestock Reintegration in the Northern Great Plains,10.2134/agronj2018.07.0441,2019,True
234,"Half‐Century History of Crop Nitrogen Budget in the Conterminous United States: Variations Over Time, Space and Crop Types",10.1029/2020gb006876,2021,True
235,Vulnerability of dryland agricultural regimes to economic and climatic change,10.5751/es-09983-230134,2018,True
236,Evaluation of constraints to water quality improvements in the Western Lake Erie Basin,10.1016/j.jenvman.2017.09.063,2018,True
237,Changes in Irrigation Practices Likely Mitigate Nitrous Oxide Emissions From California Cropland,10.1029/2018gb005961,2018,True
