,year,name
223,2018,National Institute for Occupational Safety and Health
224,2017,National Bureau of Economic Research
226,2018,Purdue University System
227,2018,Washington University in St. Louis
228,2019,National Institute of Food and Agriculture
229,2021,Kansas State University
230,2021,Waters (United States)
231,2019,University of Tennessee at Knoxville
232,2019,Berry College
233,2019,Iowa State University
234,2018,Florida Department of Agriculture and Consumer Services
235,2018,University of Florida
236,2020,Center for Epidemiology and Animal Health
237,2020,Animal and Plant Health Inspection Service
238,2020,United States Department of Agriculture
239,2020,Colorado State University
240,2021,University of Arizona
241,2021,New Mexico State University
242,2021,Texas A&M University
243,2021,Virginia Cooperative Extension
244,2021,Virginia Tech
245,2021,U.S. National Arboretum
246,2021,Cornell University
247,2019,University of Wisconsin–Madison
248,2019,United States Geological Survey
249,2020,University of Illinois Urbana-Champaign
250,2020,Kansas State University
251,2020,University College London
252,2020,International Institute for Applied Systems Analysis
253,2019,Stanford University
254,2019,Earth System Science Interdisciplinary Center
255,2018,NASA Research Park
256,2018,Bay Area Environmental Research Institute
257,2018,Astrogeology Science Center
258,2018,United States Geological Survey
259,2018,International Crops Research Institute for the Semi-Arid Tropics
260,2018,University of New Hampshire
261,2018,University of Technology Sydney
262,2021,Southeast Watershed Research Laboratory
263,2021,Agricultural Research Service
264,2021,United States Department of Agriculture
265,2021,Quality Research
266,2021,Southwest Watershed Research Center
268,2021,Archbold Biological Station
269,2018,Hunterdon Medical Center
270,2018,"Rutgers, The State University of New Jersey"
271,2018,Museum Conservation Institute
272,2018,Smithsonian Institution
273,2018,Portland State University
275,2020,Mississippi State University
276,2020,University of Missouri
277,2020,North Carolina State University
278,2018,Resources For The Future
279,2018,University of New Mexico
280,2018,Johns Hopkins University
281,2018,Planetary Science Institute
282,2019,Michigan State University
283,2019,Indiana University Bloomington
284,2018,Economic Research Service
285,2018,United States Department of Agriculture
286,2020,Cornell University
287,2020,"University of Maryland, College Park"
288,2020,"University at Buffalo, State University of New York"
289,2020,University of Michigan–Ann Arbor
290,2020,California Institute of Technology
291,2020,"University of California, Davis"
292,2020,Indian Institute of Science Bangalore
293,2020,"University of California, Los Angeles"
294,2020,Heidelberg University
295,2020,National Laboratory for Agriculture and the Environment
297,2020,Illinois Department of Natural Resources
298,2020,National Center for Supercomputing Applications
299,2020,Jet Propulsion Laboratory
300,2019,Research International (United States)
301,2019,California Department of Pesticide Regulation
302,2019,Carleton University
303,2019,Economic Research Service
304,2019,Washington State University
305,2019,Agricultural Research Service
306,2019,National Cattlemen's Beef Association
307,2019,University of Arkansas at Fayetteville
309,2020,The Ohio State University
310,2020,Quantitative BioSciences
311,2018,Pacific Northwest Research Station
312,2018,US Forest Service
313,2018,Iowa State University
314,2023,The Ohio State University
315,2023,University of Puerto Rico-Mayaguez
316,2023,Texas A&M University
317,2023,Millersville University
318,2018,Agricultural Research Service
319,2018,Center for Agricultural Resources Research
320,2018,Colorado State University
321,2021,University of Vermont
322,2021,West Virginia University
323,2018,University of Vermont
324,2018,University of Wisconsin–Extension
325,2018,Oregon State University
326,2018,Rutgers Sexual and Reproductive Health and Rights
327,2018,Mississippi State University
329,2020,NSF National Center for Atmospheric Research
330,2020,Iowa State University
331,2022,Stanford University
332,2022,University of Illinois Urbana-Champaign
333,2022,United States Department of Agriculture
334,2022,Risk Management Agency
335,2022,Indiana State Department of Health
336,2022,Natural Resources Canada
337,2022,Canadian Forest Service
338,2022,Michigan State University
339,2022,University of Wisconsin–Madison
340,2022,United States Geological Survey
341,2022,Beltsville Agricultural Research Center
342,2022,Agricultural Research Service
343,2022,National Agricultural Statistics Service
345,2022,US Forest Service
346,2022,Rocky Mountain Research Station
347,2022,University of Connecticut
348,2022,University of Colorado Boulder
349,2022,Goddard Space Flight Center
350,2022,Science Systems and Applications (United States)
351,2022,"University of Maryland, College Park"
352,2022,Google (Switzerland)
353,2022,Joint Research Centre
354,2022,University of Massachusetts Boston
355,2022,Boston University
356,2022,Desert Research Institute
357,2018,Kansas State University
359,2022,Economic Research Service
360,2022,George Mason University
363,2019,Michigan United
364,2018,Colorado School of Mines
365,2021,University of Florida
366,2018,SUNY Brockport
367,2018,Syracuse University
368,2018,Utica College
369,2019,University of Idaho
370,2018,Cornell University
371,2018,University of North Dakota
372,2018,University of Arkansas at Fayetteville
373,2018,Pennsylvania State University
374,2018,Oklahoma State University
375,2018,Kentucky State University
376,2018,Louisiana State University Agricultural Center
377,2018,University of Tennessee at Knoxville
378,2020,University of Georgia
380,2018,Fayetteville State University
381,2018,North Carolina Agricultural and Technical State University
382,2018,National Agricultural Statistics Service
383,2018,National Institute of Statistical Sciences
384,2018,Worcester Polytechnic Institute
385,2019,Madison Area Technical College
386,2019,University of Wisconsin–River Falls
388,2019,Idaho State University
389,2019,University of Almería
390,2020,Agricultural Marketing Service
392,2018,Duke University
393,2019,The Ohio State University
394,2019,Cleveland State University
395,2018,Irvine University
396,2018,"University of California, Irvine"
397,2018,University of Nebraska–Lincoln
398,2021,Great Lakes Bioenergy Research Center
399,2021,University of Wisconsin–Madison
400,2022,Colorado State University
401,2022,Resource (United States)
403,2022,University of Minnesota
404,2020,National Sedimentation Laboratory
406,2020,Agricultural Research Service
407,2020,Soil Science Research Unit
408,2020,Conservation and Production Research Laboratory
409,2020,Northwest Kansas Technical College
411,2020,University of Nebraska–Lincoln
413,2018,Auburn University
414,2023,Pennsylvania State University
415,2023,University of Vermont
416,2018,Wageningen University & Research
417,2018,Natural Resources Institute Finland
418,2018,University College Dublin
420,2018,Unité Mixte de Recherche sur les Herbivores
421,2018,Cardiff University
422,2018,University of Copenhagen
423,2018,Danish Cattle Research Centre
424,2018,Swedish University of Agricultural Sciences
425,2018,Board of the Swiss Federal Institutes of Technology
426,2018,Research Institute for Farm Animal Biology (FBN)
427,2018,Agriculture Victoria
428,2018,AgResearch
429,2018,Inria Chile
430,2018,Research Foundation - Flanders
431,2018,U.S. Dairy Forage Research Center
432,2018,University of Reading
433,2018,Aberystwyth University
434,2018,Norwegian University of Life Sciences
435,2018,Consejo Superior de Investigaciones Científicas
436,2018,The Ohio State University
437,2023,Texas Tech University
438,2023,Christ University
440,2019,"The Graduate Center, CUNY"
441,2019,University of New Mexico
443,2018,McGill University
444,2018,Boston University
445,2021,University of Coimbra
446,2021,Corvallis Environmental Center
447,2021,Oregon State University
448,2021,Universidade Federal de Minas Gerais
449,2021,University of Canberra
450,2021,Rhodes University
451,2021,University of Évora
452,2021,University of Lisbon
453,2021,Trinity College Dublin
454,2021,University of Aveiro
455,2021,Federal University of Technology Minna
456,2021,University of Canterbury
457,2021,Daejin University
458,2021,Environmental Protection Agency
459,2021,Korea Institute of Civil Engineering and Building Technology
460,2021,Tongji University
461,2021,Universidad Autónoma del Estado de Morelos
462,2021,University of New Brunswick
463,2021,Environment and Climate Change Canada
464,2021,Public Works Research Institute
465,2021,Karatina University
466,2021,NSW Department of Planning and Environment
467,2021,Acadia University
468,2021,Universidad de Las Américas
469,2021,Western University
470,2019,University of Colorado Boulder
471,2019,"University of California, Berkeley"
473,2020,South Dakota State University
474,2019,University of Missouri
475,2018,Watershed Center
476,2018,University of Illinois Urbana-Champaign
477,2018,Goodwin College
479,2018,Bissell (United States)
480,2018,Illinois Department of Natural Resources
481,2018,University of Minnesota
482,2018,Walton Family Foundation
483,2021,"University of California, Santa Cruz"
484,2021,University of Nevada Reno
487,2022,University of West Florida
488,2022,University of Florida
489,2022,Milken Institute
490,2022,George Washington University
491,2022,Health Research Alliance
492,2022,Indiana University – Purdue University Indianapolis
493,2022,Riley Hospital for Children
494,2022,Linköping University
496,2022,Center for Epidemiology and Animal Health
497,2022,Animal and Plant Health Inspection Service
498,2022,Emory University
499,2022,Pennsylvania State University
500,2019,University of Minnesota
501,2019,North Carolina State University
502,2019,American Dairy Science Association
503,2019,Universidad Complutense de Madrid
504,2023,Auburn University
505,2023,US Forest Service
506,2023,Pacific Northwest Research Station
512,2018,United States Food and Drug Administration
514,2019,Utah State University
519,2018,Korea Development Institute
521,2018,Pioneer (United States)
523,2018,Agricultural & Applied Economics Association
524,2018,University of Wyoming
525,2018,Frederick S. Pardee RAND Graduate School
526,2018,RAND Corporation
527,2018,University of Kentucky
528,2018,Center for Epidemiology and Animal Health
529,2018,Animal and Plant Health Inspection Service
531,2018,Center for Veterinary Medicine
533,2019,International Food Policy Research Institute
534,2018,Universidad de la República
536,2019,California Department of Toxic Substances Control
537,2019,California Department of Fish and Wildlife
539,2019,National Agricultural Statistics Service
540,2021,"University of California, Davis"
542,2020,The Nature Conservancy
543,2020,Portland State University
545,2019,RTI International
546,2019,United States Department of Agriculture
552,2018,New York University
553,2020,Washington State University
554,2018,New York State Department of Agriculture and Markets
556,2018,"University of California, Davis"
557,2018,Finger Lakes Community College
558,2018,Cornell Cooperative Extension of Suffolk County
559,2018,Cornell Cooperative Extension Association of Jefferson County
560,2018,New Mexico State University
562,2019,Kansas State University
567,2018,National Laboratory for Agriculture and the Environment
568,2021,University of Minnesota
569,2021,University of California Division of Agriculture and Natural Resources
570,2021,Washington State University
571,2021,University of Kentucky
579,2021,University of Colorado Boulder
580,2021,University of Michigan–Ann Arbor
581,2021,Northern Research Station
582,2021,Pennsylvania State University
584,2021,Cooperative Institute for Research in Environmental Sciences
585,2021,National Oceanic and Atmospheric Administration
586,2021,University of Northern Iowa
587,2021,Jet Propulsion Laboratory
588,2019,George Mason University
589,2019,University of Iowa
591,2019,Nanjing University
592,2019,University of Kentucky
593,2019,Murray State University
594,2019,Institute of Geographic Sciences and Natural Resources Research
595,2019,Chinese Academy of Sciences
596,2018,Arkansas Department of Agriculture
598,2018,University of Arkansas System
599,2020,Agricultural & Applied Economics Association
601,2019,Foreign Agricultural Service
603,2019,Clemson University
604,2018,Association of Schools and Programs of Public Health
605,2018,Centers for Disease Control and Prevention
609,2018,University of Warwick
611,2022,Dickinson College
616,2019,Parsons (United States)
617,2019,Massachusetts Institute of Technology
618,2022,Mississippi Delta Community College
619,2022,Mississippi State University
620,2022,Virginia Sea Grant
621,2022,Center for Coastal Studies
622,2022,Virginia Tech
623,2022,Auburn University
624,2022,University of Arkansas at Pine Bluff
625,2021,University of Nebraska Medical Center
626,2021,Agricultural Marketing Service
628,2019,Applied GeoSolutions (United States)
629,2019,University of Wisconsin–Green Bay
631,2019,Waters (United States)
632,2019,Purchase College
633,2019,SUNY College of Environmental Science and Forestry
634,2022,"University of California, Santa Barbara"
635,2022,Florida State University
636,2022,Moss Landing Marine Laboratories
637,2022,San Jose State University
638,2022,Scripps Institution of Oceanography
639,2022,"University of California, San Diego"
640,2022,California Sea Grant
641,2018,Research Triangle Park Foundation
642,2018,Environmental Protection Agency
644,2018,University of Guelph
645,2018,University of North Carolina at Chapel Hill
646,2018,Texas A&M University
647,2019,University of North Carolina at Charlotte
648,2019,University of North Carolina at Chapel Hill
650,2019,South Dakota State University
651,2019,South Dakota School of Mines and Technology
652,2019,University of Nebraska–Lincoln
653,2019,North Dakota State University
655,2019,North Central College
656,2019,Çanakkale Onsekiz Mart Üniversitesi
657,2021,Iowa State University
658,2018,Montana State University
659,2018,Purdue University West Lafayette
660,2018,South University
662,2018,California Air Resources Board
663,2018,Applied GeoSolutions (United States)
672,2018,Washington State University
673,2019,Portland State University
676,2019,University of Arkansas System
678,2018,International Food Policy Research Institute
679,2018,Xiamen University
681,2018,University of Idaho
682,2018,Commonwealth Scientific and Industrial Research Organisation
683,2018,Agriculture and Food
685,2019,University of Florida
686,2019,Colorado State University
687,2019,University of Bonn
688,2019,Jet Propulsion Laboratory
690,2019,Goddard Space Flight Center
693,2020,Oregon State University
695,2019,University of Delaware
696,2019,DuPont (United States)
697,2019,Bowling Green State University
698,2019,University of Wyoming
699,2019,University of Mississippi
700,2021,University of Leeds
701,2021,"University of Maryland, College Park"
702,2021,Helmholtz Centre for Environmental Research
703,2021,National Socio-Environmental Synthesis Center
704,2021,Martin Luther University Halle-Wittenberg
706,2018,Texas A&M University – Commerce
707,2018,Oak Ridge Associated Universities
708,2018,"Grassland, Soil and Water Research Laboratory"
710,2020,University of Florida
712,2021,Auburn University
718,2019,Oregon State University
719,2020,Linköping University
720,2020,University of Warwick
724,2021,New Mexico Institute of Mining and Technology
726,2022,United States Fish and Wildlife Service
727,2022,Intermountain Healthcare
728,2022,University of Montana
734,2018,Northwest Irrigation and Soils Research Laboratory
736,2018,Conservation and Production Research Laboratory
737,2018,Innovation Center for U.S. Dairy
740,2018,University of Alabama
742,2018,Allegheny College
744,2018,Kahramanmaraş Sütçü İmam University
748,2020,Louisiana State University
753,2018,The Nature Conservancy
755,2021,National Bureau of Economic Research
760,2021,University of Missouri
761,2021,The Ohio State University
762,2021,University of Illinois Urbana-Champaign
764,2020,George Mason University
767,2019,Center for Epidemiology and Animal Health
768,2019,Animal and Plant Health Inspection Service
769,2020,University of Tulsa
770,2020,Auburn University
772,2018,Syngenta (United States)
773,2019,Texas A&M University
775,2019,National Laboratory for Agriculture and the Environment
777,2019,Iowa Department of Natural Resources
779,2019,University of Alberta
786,2020,United States Geological Survey
787,2020,Purdue University West Lafayette
788,2020,Johns Hopkins University
790,2020,Helmholtz Centre for Environmental Research
797,2020,US Forest Service
798,2020,United States Department of State
799,2020,American Farmland Trust
800,2020,University of Maine
801,2018,Lawrence Berkeley National Laboratory
802,2018,"University of California, Berkeley"
803,2018,Joint BioEnergy Institute
805,2021,Montana State University
807,2021,Michigan State University
809,2020,Utah State University
811,2020,International Center for Tropical Agriculture
812,2018,Tufts University
815,2018,Columbia University
817,2019,North Dakota Game and Fish Department
819,2021,University of Nebraska–Lincoln
820,2021,Hashemite University
821,2021,Sandia National Laboratories
833,2019,Wuhan University
834,2019,"University of Maryland, College Park"
835,2019,University of Maryland Extension
837,2019,Westat (United States)
838,2019,Worcester Polytechnic Institute
843,2019,Mississippi State University
845,2019,Environmental Protection Agency
846,2019,Oregon Department of Environmental Quality
847,2019,"National Academies of Sciences, Engineering, and Medicine"
849,2018,Stanford University
850,2018,National Center for Supercomputing Applications
853,2023,National Agricultural Statistics Service
854,2023,National Institute of Statistical Sciences
855,2023,South Dakota State University
856,2019,Oklahoma State University
862,2019,University of Vermont
864,2022,Utah State University
865,2022,Saint Ambrose University
866,2022,Iowa State University
867,2022,Agricultural & Applied Economics Association
869,2022,Idaho State University
870,2022,South Dakota State University
871,2022,University of Nebraska–Lincoln
872,2022,The Ohio State University
874,2022,Minnesota Department of Natural Resources
876,2022,Purdue University West Lafayette
877,2022,Kansas State University
879,2022,Cornell University
883,2018,"University of Minnesota, Duluth"
886,2019,University of Guelph
887,2019,"University of California, Davis"
889,2018,University of Missouri
891,2019,University of British Columbia
897,2018,Monsanto (United States)
899,2020,Goddard Space Flight Center
900,2020,Science Applications International Corporation (United States)
901,2020,Earth System Science Interdisciplinary Center
903,2020,University of Delaware
905,2019,Stroud Water Research Center
911,2018,Lafayette College
915,2018,George Washington University
916,2017,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing
917,2017,Wuhan University
923,2018,Waterborne Environmental (United States)
924,2018,University of York
925,2018,Syngenta (United Kingdom)
926,2018,Bayer (United States)
927,2018,University of Sheffield
928,2018,National Institute for Public Health and the Environment
929,2018,Radboud University Nijmegen
932,2018,Elanco (United States)
933,2018,Coventry University
935,2021,University of Hawaiʻi at Mānoa
937,2017,Virginia Tech
938,2024,University of Georgia
939,2024,Pennsylvania State University
940,2024,University of Vermont
944,2019,Virginia Tech
948,2017,University of Idaho
950,2017,Natural Resources Conservation Service
951,2017,New Mexico State University
953,2018,"California State University, Monterey Bay"
954,2018,South Dakota State University
955,2018,ASIS Foundation
958,2018,HaitiChildren
960,2017,University of North Florida
961,2017,Institute of Steppe
964,2017,University of Rochester
966,2019,University of Michigan–Ann Arbor
967,2019,Arizona State University
969,2021,Purdue University West Lafayette
970,2020,Manchester University
971,2020,University of Manchester
972,2020,Runnymede Trust
973,2020,Brunel University London
974,2020,University of Bristol
975,2020,Delft University of Technology
976,2020,New York University Press
977,2020,University of Chicago
984,2018,Kedge Business School
985,2019,Tarleton State University
986,2019,"Grassland, Soil and Water Research Laboratory"
993,2019,Texas Commission on Environmental Quality
995,2023,Kansas State University
996,2023,Emory University
997,2019,Southeast Watershed Research Laboratory
998,2019,Beltsville Agricultural Research Center
999,2019,Syngenta (Switzerland)
1000,2019,University of Georgia
1001,2019,Alabama Agricultural and Mechanical University
1002,2021,"University of California, Santa Barbara"
1003,2021,University of North Texas
1005,2022,Oklahoma State University
1006,2023,Lamont-Doherty Earth Observatory
1007,2023,Columbia University
1008,2023,Syracuse University
1009,2023,Washington State University Vancouver
1012,2018,"University of Maryland, College Park"
1014,2020,"National Academies of Sciences, Engineering, and Medicine"
1015,2020,Environmental Protection Agency
1016,2020,Washington State University Vancouver
1018,2019,US Forest Service
1020,2017,University of Lisbon
1021,2017,Haverford College
1024,2018,Salvat (Spain)
1027,2021,Keimyung University
1028,2021,Lawrence Berkeley National Laboratory
1029,2021,Noble Research Institute
1031,2023,The University of Texas Health Science Center at Houston
1032,2023,Eastern Research Group (United States)
1033,2023,Baylor University
1034,2019,Purdue University West Lafayette
1035,2018,The University of Texas MD Anderson Cancer Center
1036,2018,North Carolina State University
1042,2019,Alltech (United States)
1044,2021,US Forest Service
1045,2021,Triangle
1047,2018,PEN American Center
1048,2017,University of Tennessee at Knoxville
1049,2017,Oak Ridge National Laboratory
1051,2023,National Farmers Union
1053,2021,South Dakota State University
1054,2021,Wright State University
1055,2023,Utah State University
1057,2023,University of Wisconsin–Madison
1058,2023,Great Lakes Bioenergy Research Center
1059,2023,University of Minnesota
1060,2023,American Farmland Trust
1061,2023,Conservation Science Partners
1062,2020,Virginia Tech
1064,2020,National Soil Dynamics Research Laboratory
1068,2022,Arizona State University
1069,2022,Chinese Academy of Sciences
1070,2022,Institute of Tibetan Plateau Research
1071,2024,National Agricultural Statistics Service
1072,2024,National Institute of Statistical Sciences
1073,2024,Tyson Foods (United States)
1074,2019,University of Kansas
1075,2019,University of Victoria
1076,2020,Clemson University
1078,2017,Centro de Investigación en Materiales Avanzados
1079,2017,"University of Minnesota, Duluth"
1082,2017,Agricultural & Applied Economics Association
1083,2017,Auburn University
1085,2019,James Hutton Institute
1086,2019,University of Edinburgh
1088,2021,University of Tennessee at Knoxville
1090,2022,"Rutgers, The State University of New Jersey"
1093,2019,New Jersey Institute of Technology
1094,2022,"University of California, Davis"
1095,2018,William & Mary
1096,2018,Williams (United States)
1097,2018,Cigna (United States)
1099,2022,North Carolina State University
1103,2019,University of North Dakota
1104,2021,University of Idaho
1106,2021,Northern Great Plains Research Laboratory
1107,2022,University of North Dakota
1108,2022,North Dakota State University
1109,2022,Johns Hopkins University
1110,2022,University of Vermont
1111,2018,Michigan Technological University
1112,2018,NOAA Earth System Research Laboratory
1113,2018,Cooperative Institute for Research in Environmental Sciences
1116,2017,University of Victoria
1117,2017,McGill University
1120,2017,University of Fort Lauderdale
1121,2017,University of Florida
1122,2017,University of Queensland
1123,2017,University of Cincinnati
1124,2018,Ewha Womans University
1127,2017,State Key Laboratory of Remote Sensing Science
1131,2022,Louisiana State University Agricultural Center
1132,2021,Dickinson College
1137,2018,Waters (United States)
1138,2018,National Cattlemen's Beef Association
1140,2018,University of Massachusetts Amherst
1141,2018,Xerces Society
1144,2017,Centers for Disease Control and Prevention
1145,2019,University of North Texas
1146,2019,University of Arkansas at Monticello
1148,2019,Delta Water Management Research Unit
1152,2022,National University of Sciences and Technology
1156,2018,Agence internationale de l'énergie
1157,2018,Chalmers University of Technology
1163,2020,University of Vermont
1165,2018,Berry College
1167,2023,North Carolina State University
1168,2023,Zhejiang University-University of Edinburgh Institute
1169,2017,Natural Resources Defense Council
1174,2022,National Institute of Statistical Sciences
1177,2018,Potomac River Fisheries Commission
1178,2018,University of Newcastle Australia
1179,2020,Union of Concerned Scientists
1181,2021,North Carolina State University
1182,2021,Arkansas State University
1184,2021,Delta Water Management Research Unit
1187,2018,Lincoln University - Missouri
1188,2022,Colorado School of Mines
1189,2022,National Bureau of Economic Research
1191,2022,Cooperative Institute for Climate and Satellites
1193,2022,Cooperative Institute for Research in Environmental Sciences
1195,2022,National Laboratory for Agriculture and the Environment
1197,2022,NOAA National Marine Fisheries Service
1198,2022,United States Department of Commerce
1199,2022,University of Delaware
1200,2022,University of Göttingen
1201,2022,Aalto University
1202,2022,Beijing Normal University
1203,2022,Jiangxi Agricultural University
1205,2022,Peking University
1206,2023,University of Waterloo
1210,2018,University of Hawaiʻi at Mānoa
1212,2021,Federal Communications Commission
1214,2022,University of Hawaiʻi at Mānoa
1215,2018,Beltsville Agricultural Research Center
1218,2018,U.S. National Arboretum
1219,2022,Knoxville College
1220,2022,University of Tennessee at Knoxville
1223,2022,The University of Texas at Dallas
1226,2017,Presbyterian Healthcare Services
1229,2018,University of Oklahoma
1230,2018,Knoxville College
1232,2022,University of Saskatchewan
1233,2022,Montana State University–Northern
1234,2022,Montana State University
1235,2022,Washington State University
1239,2020,Indiana University
1241,2019,Northern Research Station
1242,2019,Purdue University System
1243,2019,University of Massachusetts Amherst
1246,2017,California Department of Conservation
1248,2022,University of Michigan–Ann Arbor
1249,2022,University of Puerto Rico at Utuado
1252,2022,"University of California, Berkeley"
1253,2022,Intertribal Agriculture Council
1254,2021,Mississippi State University
1255,2018,Korea Rural Economic Institute
1256,2018,Twin Cities Orthopedics
1258,2018,Michigan Manufacturing Technology Center
1260,2018,Washington Tree Fruit Research Commission
1261,2020,University of Minnesota System
1263,2020,National Bureau of Economic Research
1267,2022,West Virginia University
1274,2017,Goldman Sachs (United States)
1276,2021,Colorado State University
1280,2021,Marshfield Clinic
1283,2020,University of Massachusetts Boston
1284,2020,Texas A&M University – Commerce
1285,2020,Hendrix College
1286,2020,Conway School of Landscape Design
1287,2020,Life Services (United States)
1288,2020,Michigan State University
1289,2017,California University of Pennsylvania
1290,2019,Tennessee State University
1293,2022,Sam Houston State University
1294,2022,Merrimack College
1297,2018,Resource (United States)
1299,2018,University of Wisconsin–Madison
1302,2018,John Muir Health
1303,2018,United States Department of Agriculture Climate Hubs
1306,2022,Florida Agricultural and Mechanical University
1307,2020,Oklahoma State University Oklahoma City
1310,2017,University of Mississippi
1311,2017,Business Roundtable
1312,2017,Triangle
1314,2017,Educause
1315,2023,Conservation and Production Research Laboratory
1316,2023,United States Department of Agriculture
1317,2023,Agricultural Research Service
1319,2023,Michigan State University
1320,2023,Colorado State University
1326,2018,"University of California, Los Angeles"
1327,2019,West Virginia University
1329,2017,Washington University in St. Louis
1330,2017,Imperial Valley College
1331,2017,International Paper (United States)
1335,2019,Augustana College
1336,2018,Nationwide Mutual Insurance Company (United States)
1342,2021,Columbia University
1345,2019,New York University
1346,2019,Pennsylvania State University
1347,2019,Syracuse University
1348,2018,Korea Energy Economics Institute
1352,2019,ETH Zurich
